time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
,,,11000,,,2.6520742609792824,-19.815761021205358,0.001,10824,278.56043673157694,171.5
76,139.8365215921053,152.75,11609,67,172,2.840168465624799,-21.268907106839695,0.001,11340,,
,,,12000,,,2.569333260258039,-22.40862228756859,0.001,11893,318.3312532544136,198.0
80,148.19831168749997,154.3875,12351,71,172,2.8297712997748303,-23.141659828332756,0.001,12101,,
84,151.88924110714282,152.5595238095238,12815,73,173,2.937743850549062,-24.630656475490994,0.001,12612,,
,,,13000,,,3.1561026605183646,-25.22020388938285,0.001,12891,226.05335563719274,112.8
88,157.30380479545454,152.32954545454547,13405,77,173,3.147522612793805,-26.338695735147553,0.001,13190,,
,,,14000,,,3.0595262197026036,-27.82504751298811,0.001,13908,305.3653821229935,181.1
92,164.37044976086958,154.20652173913044,14187,82,172,,,,,,
96,168.90133939583333,154.07291666666666,14791,85,173,3.064422716917815,-29.5222425180323,0.001,14566,,
,,,15000,,,3.063571066041536,-29.995519638061523,0.001,14876,278.73822471499443,158.9
100,173.04737374,153.9,15390,88,173,2.851598985291816,-31.098109374175202,0.001,15160,,
,,,16000,,,3.0731347546185535,-32.48048343397166,0.001,15733,308.2664446702227,187.6
104,183.92401182,158.99,16010,92,173,,,,,,
108,192.65340403999994,158.23,16707,94,176,3.6830612458522967,-33.84067587852478,0.001,16464,,
,,,17000,,,3.418903153712355,-34.72556077866327,0.001,16761,295.5235914811492,171.8
112,199.90611639,155.68,17382,98,176,3.323810552781628,-35.2780839498941,0.001,17105,,
,,,18000,,,3.8528794920911977,-36.75664078955557,0.001,17822,302.573545948416,187.4
116,208.49121260000004,154.51,18066,102,176,,,,,,
120,211.80895522999998,153.95,18790,105,178,3.4092310165486683,-38.34455224944324,0.001,18555,,
,,,19000,,,3.445340480915336,-39.07816163883653,0.001,18889,358.75754764676094,211.4
124,213.01766363000002,154.55,19505,110,177,3.4754216558691384,-39.810578056003735,0.001,19237,,
,,,20000,,,3.7630949312640776,-40.620179015320616,0.001,19745,290.99609544891865,156.5
128,214.30853279000002,155.3,20202,114,176,4.228019132259044,-40.926857035210794,0.001,19933,,
,,,21000,,,4.5938060937729555,-42.362707706919885,0.001,20714,368.88885400891303,206.5
132,220.70641302000004,157.08,21057,120,175,,,,,,
136,224.47583928,158.57,21923,123,177,4.439709807627768,-44.32423557705349,0.001,21611,,
,,,22000,,,4.249676131304338,-44.799641354878744,0.001,21850,381.33901795595887,210.8
140,230.66115677000002,160.48,22676,128,175,3.7674073264085126,-45.55306311713325,0.001,22433,,
,,,23000,,,4.00571286353198,-46.71223168806596,0.001,22823,407.7138607312925,233.3
144,243.36992094999994,161.62,23493,134,174,3.7898132660809685,-47.02487788480871,0.001,23223,,
,,,24000,,,4.069407441616058,-48.02281842549642,0.001,23868,386.34722579731607,218.4
148,257.79870568999996,163.73,24313,139,174,3.9170350099795432,-48.34218894110786,0.001,24049,,
,,,25000,,,4.072905405651439,-48.53567527158417,0.001,24743,367.6738265865482,222.9
152,276.5523195,170.06,25262,144,175,3.9091060109075473,-49.13396744979055,0.001,24970,,
,,,26000,,,4.113888789529669,-49.85386552723176,0.001,25721,383.24743834659455,221.0
156,288.49491808999994,174.07,26013,149,173,,,,,,
160,296.06593709,174.64,26941,154,174,4.561855774258943,-50.544761424501914,0.001,26651,,
,,,27000,,,4.490224908573836,-50.9335136063602,0.001,26868,356.58984592780473,207.6
164,309.13258672,180.51,27876,160,174,4.299668287897443,-51.16395886294492,0.001,27600,,
,,,28000,,,4.1174348363735405,-51.859108915423406,0.001,27803,378.48185806795954,207.3
