time/total_timesteps,train/learning_rate,time/fps,train/n_updates,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,eval/mean_ep_length,eval/mean_reward
38000,0.001,,37931,,1.2189711170985287,,-30.052838585593484,,,126.3,183.39368431568147
38084,,119,,184.44713515000004,,127.23,,317,436,,
38584,0.001,119,38432,184.33398862,1.163044556072264,127.13,-30.53320410757354,322,440,,
39000,0.001,,38924,,1.1505838925721215,,-30.090122598116515,,,126.3,183.39368431568147
39085,,119,,184.24835449999998,,127.05,,328,444,,
39607,0.001,119,39445,184.49432918,1.1914651348390652,127.25,-30.413513975877027,332,448,,
40000,0.001,,39964,,1.2233161597567446,,-30.34862812827615,,,126.3,183.39368431568147
40114,,118,,184.56065919000005,,127.31,,338,452,,
40624,0.001,118,40468,184.36406576999997,1.1708513641715945,127.17,-30.01000894005619,342,456,,
41000,0.001,,40857,,1.1631168607455582,,-30.220232123759256,,,126.3,183.39368431568147
41144,0.001,118,40981,184.55406532,1.1824436884733938,127.32,-30.204022684404926,348,460,,
41649,0.001,117,41497,184.48822659000004,1.2185801826706228,127.27,-30.159374207258224,353,464,,
42000,0.001,,41895,,1.1819891550711223,,-30.27873080117362,,,126.3,183.39368431568147
42180,0.001,117,42017,184.74040530999994,1.130827096153478,127.47,-30.17799186706543,359,468,,
42678,0.001,117,42526,184.6686016,1.2067805151455104,127.42,-30.328147739171982,363,472,,
43000,0.001,,42913,,1.2593815629444425,,-30.22210024273585,,,126.3,183.39368431568147
43198,0.001,116,43043,184.78890717000002,1.2054553944330948,127.52,-30.063594876802885,369,476,,
43712,0.001,117,43555,184.90032290000002,1.2954809761816455,127.6,-29.96765951956472,373,480,,
44000,0.001,,43937,,1.218688436136901,,-30.072266241220326,,,126.3,183.39368431568147
44226,0.001,116,44063,185.06730690000003,1.1738547271206266,127.74,-29.787380369882737,379,484,,
44742,0.001,116,44587,185.1187811,1.211862143740725,127.79,-30.01455970308674,383,488,,
45000,0.001,,44841,,1.230944948140965,,-29.88840827345848,,,126.3,183.39368431568147
45260,0.001,116,45099,185.20261962999996,1.2688356142851613,127.86,-30.02999133448447,389,492,,
45770,0.001,116,45618,185.23797775,1.263377589904345,127.89,-29.6059819148137,394,496,,
46000,0.001,,45864,,1.2163998984521436,,-29.702443676610148,,,126.3,183.39368431568147
46275,0.001,115,46114,185.17242836999998,1.2685059143946722,127.84,-29.92913668705867,400,500,,
46789,0.001,115,46628,185.12934235,1.1878726482391357,127.81,-29.803592413663864,404,504,,
47000,0.001,,46889,,1.2149445648376758,,-29.872529924832858,,,126.3,183.39368431568147
47308,0.001,115,47154,185.34655794000003,1.229428888753403,128.0,-29.626512850247895,410,508,,
47804,0.001,115,47648,185.12140261000005,1.3117763029427087,127.81,-29.73433634440104,414,512,,
48000,0.001,,47903,,1.2753688378851542,,-29.678550332784653,,,126.3,183.39368431568147
48327,0.001,114,48166,185.25467708000005,1.246592734919654,127.9,-29.533568690804874,420,516,,
48852,0.001,114,48686,185.39195574,1.2206359296819589,128.01,-29.630594336468242,424,520,,
49000,0.001,,48944,,1.2212970349632326,,-29.613563819009748,,,126.3,183.39368431568147
49354,0.001,114,49197,185.26643254,1.2227614672165217,127.91,-29.55301969013517,430,524,,
49874,0.001,114,49720,185.43231328,1.2539303036350193,128.05,-29.434802402149547,435,528,,
50000,0.001,,49844,,1.2329477143864478,,-29.642159246629284,,,126.3,183.39368431568147
50393,0.001,114,50230,185.56257819,1.249625479142497,128.16,-29.33972728252411,440,532,,
50903,0.001,114,50741,185.5951109,1.2446818332361982,128.19,-29.581749056206373,445,536,,
51000,0.001,,50873,,1.2112558091228658,,-29.697926550200492,,,126.3,183.39368431568147
51414,0.001,113,51252,185.73433821000003,1.2315718445814017,128.3,-29.309456594062574,451,540,,
51929,0.001,114,51765,185.89735734,1.2930704563383073,128.44,-29.36963599068778,455,544,,
52000,0.001,,51899,,1.2478655532224854,,-29.39092937868033,,,126.3,183.39368431568147
52439,0.001,113,52277,185.73172151999998,1.219494854927063,128.32,-29.302974270236106,461,548,,
52945,0.001,113,52780,185.74248096000002,1.3098527083396911,128.31,-29.34714126586914,465,552,,
53000,0.001,,52915,,1.1979450636439852,,-29.321155832774604,,,126.3,183.39368431568147
53449,0.001,113,53295,185.65816466,1.3205785299651325,128.25,-29.276096284389496,471,556,,
53961,0.001,113,53801,185.56303196999997,1.3027525020808708,128.17,-29.216139840298013,475,560,,
54000,0.001,,53931,,1.4418666628690866,,-29.06577321566068,,,126.3,183.39368431568147
54471,0.001,113,54310,185.61409699,1.2392957696914673,128.22,-29.149766195388068,480,564,,
54989,0.001,113,54824,185.46006995,1.228947384913165,128.09,-29.03603872612341,484,568,,
55000,0.001,,54959,,1.2242754406399197,,-29.246564808176526,,,126.3,183.39368431568147
55501,0.001,113,55350,185.65234333,1.2504815450486015,128.23,-29.13116679472082,490,572,,
56000,0.001,,55856,,1.1909219142216354,,-29.263424602907094,,,126.3,183.39368431568147
56015,,112,,185.56794294999997,,128.17,,496,576,,
56520,0.001,113,56362,185.44119731999996,1.2308399736881257,128.08,-29.07559403639573,499,580,,
57000,0.001,,56875,,1.2239087497005026,,-28.8432368351863,,,126.3,183.39368431568147
57028,,112,,185.38323608,,128.02,,505,584,,
57534,0.001,112,57377,185.25265455999997,1.2077939505538633,127.92,-28.803741455078125,509,588,,
58000,0.001,,57883,,1.1688388911577372,,-29.15909910935622,,,126.3,183.39368431568147
58038,,112,,185.08090377,,127.78,,515,592,,
58540,0.001,112,58382,184.99866192000002,1.1844359476391861,127.7,-28.81278237988872,519,596,,
59000,0.001,,58877,,1.1135893803301866,,-29.130444948790505,,,126.3,183.39368431568147
59037,,112,,184.89152013999998,,127.62,,524,600,,
59543,0.001,112,59386,184.80760199,1.1366246596096068,127.54,-29.02060493826866,528,604,,
60000,0.001,,59891,,1.1457764634379635,,-29.15011377476934,,,126.3,183.39368431568147
60048,,112,,184.63353182999998,,127.4,,533,608,,
60566,0.001,112,60412,184.89288461,1.1634365039459174,127.62,-29.04400010039841,538,612,,
61000,0.001,,60921,,1.1629526145377402,,-29.014757673619158,,,126.3,183.39368431568147
61080,,112,,184.79657709000003,,127.53,,543,616,,
61594,0.001,112,61436,184.64356945000003,1.1563278863063224,127.42,-29.092517001812276,547,620,,
62000,0.001,,61934,,1.1724903287887574,,-29.190415064493816,,,126.3,183.39368431568147
62097,,112,,184.64875259999997,,127.43,,553,624,,
62607,0.001,112,62447,184.51552807,1.186396316555906,127.33,-29.1824969291687,557,628,,
63000,0.001,,62834,,1.183963833904978,,-28.935837332882098,,,126.3,183.39368431568147
63126,0.001,112,62970,184.50579612,1.1391382401480394,127.33,-29.016515507417566,562,632,,
