time/total_timesteps,train/actor_loss,train/learning_rate,time/fps,time/episodes,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
92000,-82.5526170349121,0.001,,,91934,5.105802298796298,,,,98.9,228.95011301040648
92155,-82.97634420589524,0.001,150,1160,92033,9.095096596563705,612,221.42843366999998,96.78,,
92553,-82.85276794433594,0.001,150,1164,92427,4.577223757505417,614,221.97795594,96.9,,
92952,-82.35332366943359,0.001,150,1168,92824,7.029748402460657,616,222.73844353999996,97.14,,
93000,-82.91398971557618,0.001,,,92925,5.5444560877167355,,,,99.9,230.59192978143693
93352,-83.27453094482422,0.001,150,1172,93224,12.52106950861035,620,223.47181732999996,97.42,,
93756,-82.39751647949218,0.001,150,1176,93629,7.863967105893805,623,224.42281878999998,97.79,,
94000,-82.84114090277224,0.001,,,93927,7.804253088705467,,,,99.9,230.74715171456336
94155,-83.32112716674804,0.001,150,1180,94027,9.665003796815872,626,225.48303835,98.16,,
94550,-84.0100340270996,0.001,150,1184,94426,6.7643341946601865,629,226.40716313000001,98.47,,
94947,-83.77675643920898,0.001,150,1188,94820,8.14144006729126,632,227.43748818,98.8,,
95000,-83.26523559570313,0.001,,,94920,6.156894105672836,,,,99.8,232.36384276747702
95344,-84.17991516113281,0.001,149,1192,95218,6.509020969867707,635,228.52980109,99.1,,
95745,-84.26479614257812,0.001,150,1196,95616,7.786346524953842,638,229.65875993999995,99.39,,
96000,-83.32384033203125,0.001,,,95919,11.076561465263367,,,,99.8,233.36136969327927
96145,-83.36745956420899,0.001,149,1200,96019,17.144642575979233,641,229.87083486,99.41,,
96539,-83.43733869280133,0.001,149,1204,96413,9.999536154221515,644,229.99742808000002,99.4,,
96937,-83.15563003540039,0.001,149,1208,96810,10.341119767439485,646,230.40298717000005,99.48,,
97000,-83.23950592041015,0.001,,,96910,10.870560727119447,,,,99.9,233.83634607195853
97338,-83.29338775634766,0.001,149,1212,97212,10.348358100652694,650,230.89242996000004,99.64,,
97736,-82.04759231567382,0.001,149,1216,97610,15.540905327507943,652,231.16378439999997,99.71,,
98000,-82.58019607543946,0.001,,,97908,13.051147849559785,,,,100.8,233.80095979571342
98135,-84.12779403686524,0.001,149,1220,98009,12.519708243927154,656,231.41077872000002,99.74,,
98538,-84.1317724609375,0.001,149,1224,98410,11.368545792102815,658,231.55130427000003,99.8,,
98938,-83.10890571438536,0.001,149,1228,98811,16.597114743608415,661,231.61215997,99.85,,
99000,-84.05618606567383,0.001,,,98911,12.337825016975403,,,,98.8,228.1239295065403
99341,-84.26226268095128,0.001,149,1232,99213,8.844026145981807,665,231.56007286,99.85,,
99739,-84.16208570830676,0.001,149,1236,99611,13.818921791182625,667,231.51484386,99.8,,
100000,-83.46536712646484,0.001,,,99913,9.107731974951111,,,,99.9,231.62845922112464
100138,-83.70735512527764,0.001,149,1240,100014,8.465928868492052,671,231.55045241,99.79,,
100533,-83.89824224978076,0.001,149,1244,100406,7.855763757351747,673,231.4267094,99.72,,
100932,-83.64435760498047,0.001,149,1248,100805,8.743826350363173,676,231.42949109,99.69,,
101000,-83.82036651611328,0.001,,,100905,8.143588911294938,,,,98.9,230.10647760033606
101329,-84.84105622534658,0.001,149,1252,101204,14.315988260920685,679,231.42928641999998,99.68,,
101724,-84.52697193379305,0.001,149,1256,101599,4.375982567517444,682,231.23800094999999,99.62,,
102000,-84.38985595703124,0.001,,,101893,12.446257088184357,,,,100.7,232.02732159495355
102118,-84.97734741210938,0.001,148,1260,101993,8.547351624965668,686,231.26527395000002,99.63,,
102513,-84.96005813598633,0.001,148,1264,102388,10.243782737255096,688,231.20483241999997,99.6,,
102901,-84.67394701639812,0.001,148,1268,102776,8.63754087438186,691,231.00800220999997,99.49,,
103000,-84.30883882483657,0.001,,,102874,7.708096018859318,,,,98.8,231.29801883101464
103299,-84.77322875976563,0.001,148,1272,103172,11.848901375375613,695,231.08697999,99.47,,
103690,-84.0646205045739,0.001,148,1276,103564,13.284185455769908,698,230.86693436999997,99.34,,
104000,-83.71881256103515,0.001,,,103962,9.727070192098617,,,,99.9,229.1532189488411
104090,,,148,1280,,,701,230.87957059000001,99.35,,
104491,-84.27998247333602,0.001,148,1284,104366,16.67837840903039,704,231.03668522,99.41,,
104890,-85.1710974001417,0.001,148,1288,104764,9.026019651515812,706,231.04821051,99.43,,
105000,-83.48981231689453,0.001,,,104963,8.80646735906601,,,,99.8,229.97712519168854
105287,-84.02720579809072,0.001,148,1292,105160,10.967734506449748,710,230.92653797999992,99.43,,
105688,-84.8594053618762,0.001,148,1296,105561,4.649028787709246,712,230.90657799000005,99.43,,
106000,-84.09649082105987,0.001,,,105956,14.951153381583618,,,,97.3,228.3772197842598
106082,,,148,1300,,,716,230.78806317000007,99.37,,
106475,-85.23641049132056,0.001,148,1304,106350,13.216105002529767,718,230.80021374,99.36,,
106871,-84.12461029052734,0.001,148,1308,106743,9.939831049442292,721,230.7026682,99.34,,
107000,-84.23733337402344,0.001,,,106945,8.346818896803525,,,,98.9,231.96987761259078
107270,-84.82190673205318,0.001,147,1312,107143,9.313768850432503,725,230.71892993999995,99.32,,
107667,-85.17626998901368,0.001,147,1316,107541,6.133238979578018,728,230.71343696,99.31,,
108000,-84.30386511484782,0.001,,,107931,13.446076150983572,,,,99.0,232.9227710366249
108057,,,147,1320,,,731,230.56437917,99.22,,
108450,-83.49434381601762,0.001,147,1324,108325,7.579114184235081,734,230.39087443999998,99.12,,
108843,-84.38076034545898,0.001,147,1328,108718,8.776557168575248,736,230.32230902999999,99.05,,
109000,-83.77597763061523,0.001,,,108916,10.93920765519142,,,,100.4,233.31890707612038
109240,-84.2513963317871,0.001,147,1332,109116,5.915674154758453,740,230.30088736000005,98.99,,
109637,-85.16432818244485,0.001,147,1336,109512,9.407503902321995,742,230.36703151999998,98.98,,
110000,-85.2612272644043,0.001,,,109907,15.223653546571732,,,,100.0,234.50313584804536
110035,,,147,1340,,,746,230.42528008999997,98.97,,
110433,-84.98006018813776,0.001,147,1344,110307,8.814186219013099,748,230.56171875000004,99.0,,
110829,-84.99469955444336,0.001,147,1348,110718,7.8161359310150145,751,230.30633880000002,98.97,,
111000,-84.381875,0.001,,,110903,7.454604683536114,,,,99.9,232.30890288352967
111231,-84.70850686465992,0.001,147,1352,111104,8.07741370885679,755,230.44464182999997,99.02,,
111632,-83.77922432095397,0.001,147,1356,111504,12.078694873517103,757,230.53477721,99.08,,
112000,-84.24345487706802,0.001,,,111910,13.035424638028239,,,,98.9,231.70893444418908
112036,,,147,1360,,,760,230.79596899,99.18,,
112436,-83.97275161743164,0.001,147,1364,112309,7.923948609002746,763,230.91344100999996,99.23,,
112835,-84.64031784057617,0.001,147,1368,112709,9.201316268444062,765,231.25350711000002,99.34,,
113000,-85.43502465072943,0.001,,,112907,10.415289452581694,,,,100.5,235.52089446783066
113238,-84.52071640014648,0.001,147,1372,113109,10.755011610465475,769,231.35878866,99.39,,
113642,-85.02976684570312,0.001,147,1376,113513,6.352272021770477,772,231.63282346,99.52,,
114000,-84.59362598493988,0.001,,,113920,6.092216856408827,,,,100.2,232.23664596676826
114048,,,147,1380,,,775,231.72616425,99.58,,
114449,-84.92198028564454,0.001,147,1384,114321,9.066665392110844,778,231.72684135000003,99.58,,
114847,-85.09779479980469,0.001,147,1388,114719,10.578079977035522,781,231.73557868,99.57,,
115000,-85.01095326741536,0.001,,,114939,4.84324039910969,,,,100.0,234.12982188463212
115167,-84.93224395751953,0.001,146,1392,115039,10.756828109025955,784,229.83218856000002,98.8,,
115564,-84.85462889379384,0.001,146,1396,115439,12.48905859089861,786,229.80559433000002,98.76,,
115965,-85.4542315673828,0.001,146,1400,115837,11.026772639751435,789,229.934694,98.83,,
116000,-84.13163368374694,0.001,,,115938,7.885330355993592,,,,99.9,234.02536403536797
116363,-84.55180038452148,0.001,146,1404,116236,11.140713411148148,793,230.06995669999998,98.88,,
116762,-85.20641326904297,0.001,146,1408,116636,14.904879522323608,796,230.20063688,98.91,,
117000,-84.26476392558976,0.001,,,116934,12.317744871177295,,,,100.5,232.27575851678847
117162,-84.43509460449219,0.001,146,1412,117035,2.7423790173955482,799,230.22685438,98.92,,
117560,-84.50361740112305,0.001,146,1416,117432,5.735212068365078,802,230.2752798,98.93,,
117961,-84.31521277334176,0.001,146,1420,117833,8.565712037039738,804,230.46806799,99.04,,
118000,-83.79321857527191,0.001,,,117934,9.500852482153638,,,,101.6,236.3165641963482
118368,-85.41567723891315,0.001,146,1424,118240,10.843066043192797,808,230.78397576999996,99.18,,
118771,-85.14507443297143,0.001,146,1428,118642,4.05648672344661,810,231.00860803000003,99.28,,
119000,-84.51756600772633,0.001,,,118947,5.346355671976127,,,,100.9,233.82424905896187
119176,-85.24448664048138,0.001,146,1432,119049,7.706482406924753,814,231.17704749999996,99.36,,
119575,-84.98642481589803,0.001,146,1436,119449,10.268570592909148,817,231.15695889999998,99.38,,
119976,-85.66972244262695,0.001,146,1440,119849,11.383006933892128,820,231.11659027000002,99.41,,
120000,-86.0502880859375,0.001,,,119949,11.564104927778244,,,,101.2,235.81033579707145
120374,-85.82158687196929,0.001,145,1444,120251,10.026083114819649,824,230.0337492,99.41,,
120775,-85.73629119873047,0.001,145,1448,120647,13.651328829526902,827,230.48118673000002,99.46,,
121000,-85.6837179146561,0.001,,,120950,5.163618899808071,,,,101.5,237.45173877477646
121181,-85.3875591801662,0.001,145,1452,121052,11.791388838898902,832,230.60817949,99.5,,
121589,-86.46618786980125,0.001,145,1456,121460,9.233761143450643,835,230.77136647999993,99.57,,
121997,-85.59008953618068,0.001,145,1460,121869,10.680019572669385,838,230.82850900999995,99.61,,
122000,-85.22293404971852,0.001,,,121970,10.731580033160672,,,,101.9,234.204038387537
122401,-85.99866378784179,0.001,145,1464,122275,12.465153304338456,843,230.89366871999994,99.65,,
122795,-85.04463644588695,0.001,144,1468,122670,10.65783464672542,846,230.74128974000004,99.6,,
123000,-84.31157746606944,0.001,,,122966,8.049434846761276,,,,101.3,236.39856188297273
123197,-84.68913254083371,0.001,144,1472,123068,7.638307128466812,852,230.73386579,99.59,,
123598,-86.42092361450196,0.001,144,1476,123472,10.910755949791032,856,230.75213416,99.56,,
123998,-86.0963290345435,0.001,144,1480,123872,9.204025640207178,860,230.75360021,99.5,,
124000,-85.32131958007812,0.001,,,123971,8.236599447751287,,,,99.4,233.38870543837547
124402,-85.56110127766927,0.001,143,1484,124272,12.44056146401985,865,230.84714034999996,99.53,,
124806,-85.97726141237744,0.001,143,1488,124679,10.341162964409472,869,230.94500194,99.59,,
125000,-86.58015808105469,0.001,,,124879,6.758371700048446,,,,100.3,233.65457526445388
125205,-85.64939437866211,0.001,143,1492,125078,8.833065118452515,874,232.96412752,100.38,,
125608,-85.289326171875,0.001,143,1496,125480,10.427375806570053,877,233.05596579000002,100.44,,
126000,-86.03093627929688,0.001,,,125882,7.0674873483180995,,,,101.9,235.53829921483992
126010,,,142,1500,,,882,233.15183281,100.45,,
126408,-86.24758319465481,0.001,142,1504,126281,18.51854144683992,886,233.04901975,100.45,,
126813,-86.47360049977021,0.001,142,1508,126684,15.974327643318931,890,233.08697911999997,100.51,,
127000,-84.76559753417969,0.001,,,126887,10.676435032693467,,,,99.9,231.81056035757064
127217,-86.37967819213867,0.001,142,1512,127089,11.270068998384003,895,233.10696168,100.55,,
127620,-85.52063171386719,0.001,141,1516,127490,9.022316848039628,898,233.11818938999997,100.6,,
128000,-86.15143798828124,0.001,,,127895,7.6352953651163835,,,,100.8,235.08039744496347
128023,,,141,1520,,,904,233.12383566,100.62,,
128422,-85.30658939906529,0.001,141,1524,128295,8.046018063419996,907,232.91420406999998,100.54,,
128821,-86.31872161865235,0.001,141,1528,128696,10.114506917770463,911,232.71202303,100.5,,
129000,-85.79243133544922,0.001,,,128895,9.574108713924295,,,,101.1,237.64181690812111
129225,-85.49590469360352,0.001,141,1532,129097,11.488971694861307,914,232.75604958,100.49,,
129630,-85.92813323974609,0.001,141,1536,129502,7.695392243862152,917,232.95697161,100.55,,
129999,-85.21774058439294,0.001,141,1540,129871,9.798319540461716,920,231.98979260000004,100.23,,
130000,-86.21031712550743,0.001,,,129972,2.6542500104054367,,,,101.1,235.73789861798286
130400,-85.88929997658244,0.001,141,1544,130272,4.847707891950802,924,233.07945477000004,100.26,,
130802,-86.1831615672392,0.001,141,1548,130674,5.918130389534601,927,233.0573583,100.27,,
131000,-86.57258590698243,0.001,,,130874,2.285192238562035,,,,101.1,236.61733367443085
131205,-86.72934318991268,0.001,140,1552,131076,9.814665053150442,931,232.98773221000002,100.24,,
131608,-85.49722518920899,0.001,140,1556,131479,9.054129258240804,933,232.90639534999994,100.19,,
132000,-86.06457959688626,0.001,,,131887,8.040214786162743,,,,102.7,233.62130445241928
132017,,,140,1560,,,938,232.86281018000003,100.2,,
132420,-85.8884423828125,0.001,140,1564,132292,11.567444183609702,941,232.74736950000002,100.19,,
132821,-86.66110733032227,0.001,140,1568,132696,6.529599095233763,943,232.72506837999998,100.26,,
133000,-85.94898463230507,0.001,,,132896,9.080529971449982,,,,97.1,221.64062256217002
133223,-86.84592163085938,0.001,140,1572,133095,6.24772455255584,947,232.58491321000005,100.26,,
133625,-87.00075695561428,0.001,140,1576,133498,11.421112948124952,950,232.56499305999998,100.27,,
134000,-86.55240092558019,0.001,,,133901,9.872902133885551,,,,101.6,237.06230609416963
134030,,,140,1580,,,953,232.65942558999998,100.32,,
134434,-86.10379851098155,0.001,140,1584,134306,8.385485974012637,956,232.67296022,100.32,,
134833,-86.2600404327991,0.001,140,1588,134705,9.955072773437873,958,232.62381197000002,100.27,,
135000,-87.15085998535156,0.001,,,134906,7.7337543070316315,,,,100.4,232.76076061725615
