rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
48.59,192,87.85195945000001,134,48,6559,4.612062320989721,-19.947441600617907,0.001,6377,,
51.3,196,94.52344914000001,133,51,6901,5.043742349568535,-20.736382983979723,0.001,6719,,
,,,,,7000,4.09564501458201,-21.047251267866656,0.001,6892,85.1,164.55562423467637
54.02,200,101.20555679999998,130,55,7245,4.295470934538614,-21.651946749005997,0.001,7062,,
55.87,204,104.92090199,130,58,7582,4.285831936570101,-22.480674566224565,0.001,7402,,
58.32,208,109.85275511,130,60,7925,4.657680159391359,-23.11231111925702,0.001,7743,,
,,,,,8000,4.6347616314888,-23.276424496672874,0.001,7829,85.1,163.82148196697236
60.83,212,114.84877590999999,128,64,8268,5.1188614742700445,-23.94136655053427,0.001,8087,,
63.34,216,119.74606550999997,128,66,8609,4.909928326045765,-24.44264470963251,0.001,8427,,
65.76,220,124.51574572999996,128,69,8945,5.1203795827570415,-25.099858647301083,0.001,8763,,
,,,,,9000,4.8365510799164,-25.0967306092728,0.001,8849,85.1,164.26508246660234
68.28,224,129.48606460999997,127,72,9285,4.949285925820816,-25.777541848116144,0.001,9107,,
