rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_ep_length,eval/mean_reward
33.72727272727273,88,59.23572035227273,178,16,2968,0.001,1.5382158296017707,2793,-12.085359279926006,,
,,,,,3000,0.001,1.4684500007689754,2872,-12.412118077278137,47.5,85.78558928370475
35.03260869565217,92,61.76443485869565,175,18,3223,0.001,1.6719087686719774,3049,-12.983524444775703,,
36.802083333333336,96,65.17344661458334,175,20,3533,0.001,2.1542432278017456,3358,-14.022633743286132,,
38.47,100,68.46235071,175,21,3847,0.001,2.1708376847016506,3674,-15.10652153308575,,
,,,,,4000,0.001,2.2163418040999883,3830,-15.465263080596923,77.8,145.86426100730895
40.61,104,73.72101645,172,24,4157,0.001,2.516666540189793,3985,-16.114707043296413,,
42.87,108,78.17418033000001,171,26,4468,0.001,2.522085427855834,4295,-17.03526844122471,,
45.11,112,82.38114604,172,27,4781,0.001,2.742749424357163,4601,-17.896069878026058,,
,,,,,5000,0.001,2.560429543643803,4840,-18.794094330225235,77.8,145.38389284610747
47.32,116,86.58839047000001,170,29,5091,0.001,2.9085899132948656,4918,-19.00120133620042,,
49.53,120,90.76910225000003,170,31,5401,0.001,2.8127381592601925,5228,-19.87788351988181,,
51.75,124,95.00064472000003,171,33,5711,0.001,3.3342712895992475,5539,-20.78666735918094,,
,,,,,6000,0.001,2.423767913471569,5847,-21.58093055925871,77.1,142.742142444849
53.89,128,99.00334946,169,35,6020,,,,,,
55.91,132,102.91780539999999,169,37,6326,0.001,2.8366119326689305,6155,-22.462142455272186,,
58.17,136,107.27866768,170,38,6640,0.001,3.3701469991114235,6460,-23.268934298784306,,
60.73,140,112.44226367999998,171,40,6983,0.001,3.288689605718435,6803,-24.264239776966182,,
,,,,,7000,0.001,3.352808114318621,6887,-24.33995146978469,85.0,165.82064179182052
63.07,144,117.23314358999998,169,43,7330,0.001,2.982045666422955,7147,-24.910734753276028,,
64.97,148,121.31974356999999,170,45,7674,0.001,3.416810636719068,7492,-25.73617272149949,,
,,,,,8000,0.001,4.523029532925836,7832,-26.59721677953547,85.9,168.2809611260891
66.69,152,124.96644742999997,168,47,8013,,,,,,
68.37,156,128.55710757999998,169,49,8356,0.001,3.926925476255088,8173,-27.142588371454284,,
70.91,160,133.67810809,169,51,8699,0.001,4.352231227803505,8516,-27.935742594979025,,
,,,,,9000,0.001,3.330443015043763,8860,-28.7683648629622,85.8,168.3810308456421
73.44,164,138.79983782,167,54,9043,,,,,,
75.95,168,143.85025468,167,55,9382,0.001,4.0453851743676195,9203,-29.56156894772552,,
78.08,172,148.17918519,168,57,9726,0.001,5.014314040888188,9543,-30.22601318359375,,
,,,,,10000,0.001,4.833834921204766,9888,-30.779757033946904,85.9,169.42021017670632
79.52,176,151.16824382,166,60,10071,,,,,,
79.92,180,152.07556064,167,62,10416,0.001,3.9484652143785324,10234,-31.393617846749045,,
81.12,184,154.63126806999998,167,64,10765,0.001,4.322912843748071,10583,-31.84198552508687,,
,,,,,11000,0.001,5.070861565655675,10842,-31.9950365153226,85.8,168.29901316165925
81.43,188,155.51695214,166,66,11111,0.001,5.022125458994577,10928,-32.14151644152264,,
82.28,192,157.42183183999998,167,68,11451,0.001,6.283220296882721,11268,-32.704772722153436,,
82.61,196,158.37313727999998,167,70,11794,0.001,6.644114302186405,11613,-33.35203874678839,,
,,,,,12000,0.001,5.166131636675666,11867,-33.92576998756046,84.7,164.95901229977608
82.85,200,159.04484418,166,72,12132,0.001,5.36230774529009,11950,-33.461500803629555,,
83.15,204,159.85244260000002,166,74,12472,0.001,5.806746805415434,12291,-34.13237113044376,,
83.39,208,160.52163684,166,76,12807,0.001,4.593475158725466,12629,-34.56583522614979,,
,,,,,13000,0.001,5.89105784332051,12883,-34.824001948038735,85.6,168.24955083727838
83.63,212,161.30325120999998,166,79,13144,0.001,6.082406553221338,12964,-35.174157863709986,,
83.93,216,162.15460979000002,166,80,13484,0.001,5.626424261893349,13308,-35.16718144850297,,
84.2,220,162.96420591999998,167,82,13821,0.001,4.417105851350008,13640,-36.00514621269412,,
