train/learning_rate,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,-8.196935947124775,55594,55454,1068,39.78085877,341,0.20411301375581667,51.09,162,,
0.001,-7.957451144854228,55796,55659,1072,39.67761006,342,0.1923413024264939,51.03,162,,
0.001,-8.13618137218334,55998,55862,1076,39.70772219,343,0.24703386861760662,51.03,162,,
0.001,-8.332083841164907,56000,55910,,,,0.26559533178806305,,,50.2,38.55887085199356
0.001,-8.225930461883545,56201,56061,1080,39.80683615,345,0.2412043771147728,51.07,162,,
0.001,-8.046715756257376,56400,56264,1084,39.77765781,346,0.20095798714707294,51.07,162,,
0.001,-7.880560673200167,56607,56466,1088,39.76372178,347,0.1934876250577908,51.07,162,,
0.001,-8.437103271484375,56811,56671,1092,39.678828530000004,348,0.2516949448962601,51.04,162,,
0.001,-8.128531180895292,57000,56878,,,,0.261033260764984,,,50.2,38.55887085199356
,,57017,,1096,39.7625485,350,,51.05,162,,
0.001,-8.150655746459961,57226,57086,1100,39.854685520000004,351,0.23258579420108422,51.11,162,,
0.001,-8.04279221021212,57432,57292,1104,39.83791255,352,0.2220195140324387,51.09,162,,
0.001,-8.246307739844688,57641,57501,1108,39.866223749999996,353,0.2447172045134581,51.1,162,,
0.001,-8.192836999893188,57842,57703,1112,39.859011130000006,354,0.19036571231653104,51.1,163,,
0.001,-8.251742168709084,58000,57908,,,,0.21334106039326145,,,50.2,38.55887085199356
,,58045,,1116,39.758792510000006,356,,51.04,162,,
0.001,-8.117264619240395,58248,58109,1120,39.760923829999996,357,0.26831245250426805,51.01,162,,
0.001,-7.924256443977356,58448,58309,1124,39.74002153000001,358,0.23814073721973264,51.0,162,,
0.001,-8.182485932889191,58652,58511,1128,39.65820135999999,359,0.18304359881167717,50.96,163,,
0.001,-8.396605034669241,58851,58713,1132,39.46361176999999,360,0.20036307190145766,50.85,163,,
0.001,-8.30597343811622,59000,58866,,,,0.19721857882013508,,,50.2,38.55887085199356
0.001,-8.327944355010986,59053,58917,1136,39.49179708,362,0.3274648312260123,50.86,162,,
0.001,-8.031712474822998,59258,59121,1140,39.50603999,363,0.21604461062188243,50.87,162,,
0.001,-7.936070717298067,59463,59323,1144,39.5723028,365,0.1921553206893633,50.89,162,,
0.001,-8.205313472747802,59664,59524,1148,39.49152076,366,0.19771748020940896,50.84,162,,
0.001,-8.098890171051025,59866,59728,1152,39.499340929999995,367,0.21894905984401702,50.86,162,,
0.001,-8.267943437282856,60000,59881,,,,0.2061031110725313,,,50.2,38.55887085199356
0.001,-8.044103357526991,60075,59934,1156,39.59617575,368,0.19396957769146506,50.93,162,,
0.001,-8.205086102852455,60280,60140,1160,39.570554089999995,370,0.1998821713316899,50.91,162,,
0.001,-8.220348497231802,60483,60343,1164,39.62629475000001,371,0.24597977412243685,50.93,162,,
0.001,-8.34272700548172,60679,60541,1168,39.449161759999996,372,0.20523507241159678,50.85,162,,
0.001,-8.172809802568876,60885,60746,1172,39.53533589,373,0.25493855487841827,50.89,162,,
0.001,-8.130612575090849,61000,60900,,,,0.18975269952072546,,,50.2,38.55887085199356
0.001,-8.047997722625732,61091,60950,1176,39.61198639,375,0.19333307206630707,50.93,162,,
0.001,-8.06111691548274,61297,61157,1180,39.6509986,376,0.18525788159865253,50.96,162,,
0.001,-7.981780471801758,61502,61362,1184,39.78385933,377,0.19769522815942764,51.02,163,,
0.001,-8.352706450003165,61710,61572,1188,39.7868867,378,0.19606372643754166,51.03,163,,
0.001,-8.023390464782715,61912,61774,1192,39.734715689999994,379,0.21868508461178565,51.01,163,,
0.001,-8.198986273545485,62000,61876,,,,0.20142472707308257,,,50.2,38.55887085199356
0.001,-8.109984359741212,62116,61976,1196,39.673079359999996,380,0.21735917761617776,50.99,163,,
0.001,-8.087246583058285,62323,62184,1200,39.64558649,382,0.22995877660372677,50.97,163,,
0.001,-8.254610900878907,62527,62388,1204,39.62336799,383,0.21112087309360505,50.95,163,,
0.001,-8.246171283721925,62735,62593,1208,39.59720718,384,0.24256265550851822,50.94,163,,
0.001,-8.168720779418946,62940,62801,1212,39.69411807,385,0.18462207109904757,50.98,163,,
0.001,-8.24661636352539,63000,62905,,,,0.1963508501648903,,,50.2,38.55887085199356
0.001,-8.127043647766113,63144,63007,1216,39.71617294,387,0.22222590506076811,50.99,162,,
0.001,-7.989288568496704,63347,63208,1220,39.73135749,388,0.19381151655141046,50.99,162,,
0.001,-8.001895980834961,63548,63410,1224,39.73425781,390,0.19502524212002753,51.0,162,,
0.001,-8.29215461730957,63750,63612,1228,39.70982958,391,0.22731292635202408,50.98,162,,
0.001,-8.26073169708252,63955,63818,1232,39.79248839000001,392,0.21414083551685764,51.04,162,,
0.001,-8.047226210435232,64000,63867,,,,0.3078807558940381,,,50.2,38.55887085199356
0.001,-8.187435902082003,64162,64021,1236,39.88386472,393,0.220767322068031,51.09,162,,
0.001,-8.079614345843975,64368,64228,1240,39.93270465,395,0.2041759528950149,51.1,162,,
0.001,-8.231605181327232,64574,64434,1244,39.92845958,396,0.20964127632917143,51.11,162,,
0.001,-8.102746890141415,64774,64638,1248,39.90062769,397,0.24841172534685868,51.1,162,,
0.001,-8.172203858693441,64979,64841,1252,39.93468804,398,0.18113080381738897,51.13,162,,
0.001,-7.972598209381103,65000,64891,,,,0.20513954371213913,,,50.2,38.55887085199356
0.001,-8.226596428797794,65181,65042,1256,39.85457048999999,400,0.21139009941655856,51.06,162,,
0.001,-8.038969211578369,65383,65247,1260,39.77898991000001,401,0.20676129764201595,51.03,162,,
0.001,-8.177241603533426,65584,65445,1264,39.70396006000001,402,0.20439055957356278,51.01,162,,
0.001,-8.165036733333881,65787,65648,1268,39.849422940000004,403,0.20434122152772605,51.08,162,,
0.001,-8.22584867477417,65990,65853,1272,39.77042568,405,0.18449585884809494,51.05,162,,
0.001,-8.340252418518066,66000,65902,,,,0.1841742682213686,,,50.2,38.55887085199356
0.001,-8.213463112160012,66192,66056,1276,39.68694577,406,0.21966194206813597,51.01,162,,
0.001,-8.33727855682373,66394,66256,1280,39.575804160000004,407,0.21511143803596497,50.97,162,,
0.001,-8.23352659225464,66600,66460,1284,39.577363430000005,408,0.18256594727233966,50.98,162,,
0.001,-8.32690018415451,66800,66661,1288,39.43054642,410,0.1991140275281303,50.9,162,,
0.001,-8.258261013031007,67000,66863,,,,0.20360916793346406,,,50.2,38.55887085199356
,,67002,,1292,39.41538695,411,,50.9,162,,
0.001,-8.062665976010836,67203,67064,1296,39.36534961,412,0.21749258479651282,50.87,162,,
0.001,-8.274136861165365,67400,67260,1300,39.17129197,414,0.18659226976810617,50.77,162,,
0.001,-8.111963634490968,67604,67465,1304,39.14991325,415,0.19478864076675154,50.77,162,,
0.001,-8.114864569443922,67818,67677,1308,39.208966180000004,416,0.18733846625456443,50.83,162,,
0.001,-8.263273258209228,68000,67884,,,,0.1924966179898807,,,50.2,38.55887085199356
,,68020,,1312,39.12156591,418,,50.8,162,,
0.001,-8.34472942352295,68221,68084,1316,39.065302200000005,419,0.21015310462783365,50.77,162,,
0.001,-8.281429804288424,68423,68284,1320,39.0005429,420,0.20874201988472657,50.76,162,,
