rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
,,,,4000,,0.001,2.2833957929502833,3885,-14.372536803736832,159.92085359096527,80.7
36.26,24,136,60.431617720000006,4046,167,,,,,,
38.52,25,140,65.10851432999999,4312,166,0.001,2.8664827549803085,4172,-15.43638698032924,,
41.06,27,144,70.58070572,4606,167,0.001,2.2992060230058784,4469,-16.502770991552445,,
43.68,29,148,76.21837194999999,4908,168,0.001,2.4808657638362197,4746,-17.66453626078944,,
,,,,5000,,0.001,3.656624832878942,4901,-17.96098451053395,168.83998115062712,85.7
46.38,31,152,81.98741343999998,5218,164,0.001,3.2834769240447454,5057,-18.58831400190081,,
49.32,33,156,88.36003249999997,5552,165,0.001,3.728353064200457,5391,-19.65809608641125,,
52.36,35,160,95.01877121,5896,166,0.001,3.6167204109735267,5734,-20.87710109976835,,
,,,,6000,,0.001,4.131586511467779,5906,-21.36803112473599,169.0539934337139,85.9
55.41,37,164,101.55939717,6241,164,0.001,3.894281374997106,6078,-22.035693862221457,,
58.47,39,168,108.22122886999999,6587,164,0.001,3.6477712968300127,6424,-23.061105381358754,,
61.55,42,172,114.90215619,6935,164,0.001,4.263172153768869,6772,-24.43483131582087,,
,,,,7000,,0.001,4.080752291898618,6859,-24.515443225239597,170.29497310519218,86.1
64.59,44,176,121.40830289000002,7279,162,0.001,4.137293489866479,7117,-25.232075713401617,,
67.6,46,180,127.85451542999999,7620,164,0.001,3.757025224321029,7459,-26.38503819420224,,
70.14,48,184,133.04864016,7962,164,0.001,3.85014654869257,7799,-27.514690887096318,,
,,,,8000,,0.001,4.451061974996808,7886,-27.64158535003662,168.94041393399237,86.0
72.45,51,188,138.39542806999998,8305,162,0.001,3.8812784594158796,8143,-28.331286896106807,,
72.95,53,192,141.18043195,8649,162,0.001,4.0035728328368245,8487,-29.566871007283527,,
76.08,54,196,147.54629622000002,8990,163,0.001,4.313605261700494,8829,-30.382790747142973,,
,,,,9000,,0.001,4.288962681153241,8914,-30.661278613778048,166.05703455209732,85.2
78.26,57,200,152.12378907999997,9331,162,0.001,4.689185564658221,9169,-30.929826827276322,,
78.85,59,204,153.32461841,9674,162,0.001,4.209711383941562,9514,-32.154884870662244,,
,,,,10000,,0.001,4.616892039074617,9852,-32.867779266002564,168.9134488940239,85.8
80.12,61,208,155.98439575000003,10014,161,,,,,,
82.51,63,212,160.15579646,10474,164,0.001,3.8616201822147813,10196,-33.419611553813134,,
80.76,65,216,156.30202034,10564,162,0.001,12.285568153156953,10451,-33.56398344039917,,
81.03,66,220,156.7634505,10907,163,0.001,6.255314536478328,10747,-34.93542604668196,,
,,,,11000,,0.001,5.714196809406938,10918,-35.12868395718661,168.07946944236755,85.9
81.23,69,224,157.10559648999998,11255,162,0.001,5.325271661254181,11092,-35.87915732643821,,
81.32,70,228,157.12636749,11594,163,0.001,5.472267392135802,11433,-36.33300590515137,,
81.82,72,232,158.21792428999998,11935,164,0.001,6.41078979344595,11773,-36.915880839029946,,
,,,,12000,,0.001,5.551089121851811,11859,-37.14110254686932,167.26895761489868,86.0
82.25,75,236,159.11286843999997,12271,163,0.001,5.545349802912735,12111,-37.366248061017295,,
83.05,76,240,160.95206026000002,12617,163,0.001,4.436639383259942,12454,-38.243825247121414,,
83.56,78,244,161.95038562,12962,164,0.001,4.47083554688622,12798,-38.79796715669854,,
,,,,13000,,0.001,6.2418446215716274,12886,-38.84178898551247,166.67223030924796,85.9
83.98,81,248,162.77686682999996,13306,163,0.001,5.2675829909064555,13145,-39.026896650140934,,
84.35,83,252,163.58074950999998,13653,164,0.001,5.959010795615185,13489,-39.83147696561591,,
,,,,14000,,0.001,5.229666209768975,13838,-39.873269687999375,169.30867372155188,86.6
84.49,85,256,163.81434982,14001,163,,,,,,
84.5,87,260,163.68076676,14346,163,0.001,4.46634132172688,14184,-40.63697451636905,,
84.44,89,264,163.58326203000001,14685,163,0.001,7.072407826071694,14521,-41.17990811665853,,
,,,,15000,,0.001,5.707417559929383,14891,-41.31036807329227,156.2619282901287,78.5
84.59,92,268,163.82831388,15046,162,,,,,,
84.27,94,272,163.22033907000002,15362,163,0.001,7.227730233458024,15207,-41.909510001158104,,
83.95,95,276,162.62216411,15674,163,0.001,4.549933311266777,15520,-41.96242024348332,,
,,,,16000,,0.001,3.7036859029676856,15843,-42.949779882663634,197.9471340894699,90.9
83.9,98,280,162.8576599,16010,162,,,,,,
83.91,100,284,163.25655847,16353,162,0.001,6.408466361550724,16189,-43.33218719845726,,
85.01,102,288,165.79695477999996,16806,163,0.001,4.943456115261201,16619,-44.14163166543712,,
,,,,17000,,0.001,7.0898893404006955,16830,-44.51083198547363,255.87573407888414,136.2
86.52,107,292,168.75888846,17301,161,0.001,4.99751972922912,17137,-44.72250865055965,,
88.52,109,296,172.37417076000003,17842,162,0.001,6.135694914764458,17592,-45.11425887213813,,
,,,,18000,,0.001,5.71610195090057,17923,-45.64629579201723,288.964608502388,168.2
90.73,114,300,175.82228809999998,18404,160,0.001,5.935403104675443,18239,-46.08874958439877,,
91.62,117,304,177.42795719000003,18836,160,0.001,6.536734002359798,18672,-46.59795820448134,,
,,,,19000,,0.001,5.397120097409124,18852,-46.98508461661961,188.75373224020004,95.0
92.56,120,308,179.31340756000006,19270,160,0.001,6.192780856575284,19102,-47.21054258800688,,
91.7,122,312,178.93122527000003,19644,160,0.001,7.017018247157969,19474,-47.234157805747174,,
,,,,20000,,0.001,5.715368760529385,19849,-48.19953893578571,199.6311986207962,93.6
94.55,125,316,185.70646756999994,20019,159,,,,,,
