rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
,101000,,,,,3.2936548789342246,100896,-38.13318980823863,0.001,84.8,170.17464908361436
170.71665166,101160,1556,181,85.56,556,3.0652283443961035,100982,-38.414825350739235,0.001,,
170.80844098,101504,1560,181,85.57,558,2.9605399716732115,101327,-37.67401025461596,0.001,,
170.81877538,101847,1564,181,85.59,560,3.2311450076657673,101671,-38.143256342688275,0.001,,
,102000,,,,,2.720999211765999,101842,-37.61578200584234,0.001,85.4,170.7855329632759
170.78290766,102190,1568,181,85.58,562,3.044156034787496,102014,-38.03235470164906,0.001,,
170.90431989,102533,1572,181,85.6,564,3.2844350884942446,102356,-38.12163951785065,0.001,,
170.89208046000007,102878,1576,181,85.64,565,3.4690837887511856,102701,-38.015098128207896,0.001,,
,103000,,,,,3.0998145993365798,102873,-37.727100194886674,0.001,85.9,172.42965725660324
171.44421699000006,103219,1580,181,85.83,568,2.9021154798212505,103043,-38.297898701259065,0.001,,
171.61374865999997,103563,1584,181,85.84,569,3.2213250190712683,103386,-37.64228022375772,0.001,,
171.53978973999997,103905,1588,181,85.81,571,3.637953686714172,103729,-37.929138728550505,0.001,,
,104000,,,,,4.386029419510863,103900,-38.0929060647654,0.001,85.8,171.4761841773987
171.45328400999998,104248,1592,181,85.81,573,2.6590337476064994,104071,-37.46043227439703,0.001,,
171.39477805999996,104590,1596,181,85.8,575,3.0746852616931117,104415,-37.519585454186725,0.001,,
171.34091064,104935,1600,181,85.82,577,2.9663986979528914,104758,-37.14309133485306,0.001,,
,105000,,,,,2.9531238134517226,104844,-37.59911284335824,0.001,85.7,171.3449412226677
171.38246094000002,105278,1604,181,85.81,579,3.3141410489415013,105101,-37.47684416660043,0.001,,
171.27880273999995,105620,1608,181,85.78,581,2.984186955059276,105443,-37.415542511712935,0.001,,
171.21898323999994,105965,1612,181,85.78,583,3.156472143738769,105787,-37.33692044990007,0.001,,
,106000,,,,,3.438226302464803,105874,-37.48223192041571,0.001,85.9,172.55933386087418
171.20718618999996,106305,1616,181,85.75,585,3.4284336941186773,106130,-37.516689389251,0.001,,
171.23276013999998,106648,1620,181,85.75,587,3.354300558567047,106471,-37.73571910414585,0.001,,
171.21590911000004,106989,1624,181,85.71,588,3.3344667582284835,106812,-37.44480968656994,0.001,,
,107000,,,,,3.8115799801294195,106898,-36.723796046057416,0.001,85.9,172.5242774128914
171.20687629999998,107334,1628,181,85.73,591,2.970833839372147,107157,-37.66220474243164,0.001,,
171.24394838000003,107677,1632,181,85.75,592,2.8772904480204864,107500,-37.14558934056482,0.001,,
,108000,,,,,3.364042801516397,107843,-37.04450071425665,0.001,85.0,170.39631733894348
171.2149191,108020,1636,181,85.75,595,,,,,,
171.30636336,108364,1640,181,85.76,596,3.271787321844766,108187,-37.38040045804755,0.001,,
171.44462038999998,108709,1644,181,85.79,598,3.569027145241582,108532,-37.452517043712525,0.001,,
,109000,,,,,3.171790818835414,108875,-37.394611890925916,0.001,85.9,172.37280994653702
171.36393953000004,109052,1648,181,85.78,600,,,,,,
171.43013956,109395,1652,181,85.79,602,4.496457292590031,109218,-36.364529543144755,0.001,,
171.43879987,109738,1656,181,85.78,604,3.1883268522661785,109562,-36.75685492227244,0.001,,
,110000,,,,,2.7661395336306374,109905,-36.83542207229969,0.001,85.4,170.79459735155106
171.51019187999995,110083,1660,181,85.79,606,,,,,,
171.56214107999998,110424,1664,181,85.77,608,3.6771880013998164,110249,-36.82931917767192,0.001,,
171.58671550000003,110768,1668,181,85.78,610,2.837842962321113,110590,-36.765801274499225,0.001,,
,111000,,,,,3.4036018626634466,110849,-36.52041279992392,0.001,77.4,152.61068836450576
171.50577293000003,111109,1672,181,85.76,612,3.7040080491234275,110934,-36.49475825110147,0.001,,
171.43348089999995,111448,1676,181,85.7,613,3.3253130814608407,111274,-36.85882231246593,0.001,,
171.31161329999998,111789,1680,181,85.7,615,3.972854227178237,111612,-37.00690788446471,0.001,,
,112000,,,,,3.4686627429585126,111870,-36.60078767288563,0.001,85.6,171.43227494955062
171.16303366000008,112132,1684,181,85.69,617,2.690756747301887,111955,-36.74674524579729,0.001,,
171.1812922,112473,1688,181,85.68,619,3.3932434859729947,112298,-36.66090438479469,0.001,,
171.24577526999997,112817,1692,181,85.69,621,3.0047549619231115,112640,-36.65636133593182,0.001,,
,113000,,,,,3.260389836437731,112894,-36.638597670055574,0.001,85.3,171.09857943058014
171.19451682000002,113157,1696,181,85.67,623,3.0730810040651364,112980,-36.584025893100474,0.001,,
171.19515533999999,113498,1700,181,85.63,624,3.5695682890274947,113321,-36.18540754772368,0.001,,
171.10012586000002,113841,1704,181,85.63,626,2.978250119265388,113664,-36.8098882630814,0.001,,
,114000,,,,,3.103773363800936,113836,-36.25421337748683,0.001,86.3,172.21608253717423
171.20604925,114187,1708,181,85.67,628,3.185610767068534,114010,-36.35158989646218,0.001,,
171.18320576999997,114530,1712,181,85.65,630,2.914082344840555,114353,-36.00519761585054,0.001,,
171.33439888999993,114875,1716,181,85.7,632,3.1988066143767777,114698,-37.031279186869774,0.001,,
,115000,,,,,2.935505294251716,114871,-36.24950595234716,0.001,86.0,170.7748143553734
171.44121735000002,115222,1720,181,85.74,634,2.8697314844575037,115044,-36.437397358029386,0.001,,
171.53221181,115568,1724,181,85.79,636,2.8965158503631065,115390,-36.31934751163829,0.001,,
171.55304778,115914,1728,181,85.8,638,3.1697521279024525,115737,-36.40970185745594,0.001,,
,116000,,,,,3.202097959296648,115823,-36.48398386045944,0.001,85.6,169.61261179447175
171.49426447,116257,1732,181,85.8,640,3.762386705986289,116079,-36.37525664928348,0.001,,
171.54474863,116599,1736,181,85.79,642,2.9282474868437824,116422,-36.274050512979194,0.001,,
171.51223646000003,116942,1740,181,85.78,643,3.0351538480013267,116764,-36.47500645030629,0.001,,
,117000,,,,,3.088127969325274,116851,-35.84375124199446,0.001,86.1,171.4358429312706
171.42643130999997,117289,1744,181,85.8,646,2.8729676364482133,117111,-36.41809117516806,0.001,,
171.51621920000002,117636,1748,181,85.84,647,3.2450448137590255,117459,-35.999025744061136,0.001,,
171.50446033,117979,1752,181,85.84,649,3.7823228614274846,117802,-35.81510880936024,0.001,,
,118000,,,,,2.7131021258442902,117888,-36.12423253613849,0.001,85.8,172.02283896207808
171.65831969,118323,1756,181,85.85,651,3.2753913430280464,118145,-36.09033699922784,0.001,,
171.68783245000003,118667,1760,181,85.84,653,3.2124054623746323,118490,-35.801772984591395,0.001,,
,119000,,,,,3.245931374472241,118834,-36.00491554792537,0.001,85.9,172.67287014722825
171.71077611,119011,1764,181,85.87,655,,,,,,
171.68334377000002,119356,1768,181,85.88,657,3.7512972160827283,119179,-35.811011203499724,0.001,,
171.69765720000004,119700,1772,181,85.91,659,3.2418147879977557,119523,-35.74987659897915,0.001,,
,120000,,,,,2.926930699237557,119867,-35.82373508187227,0.001,85.9,172.31111960411073
171.83749961,120044,1776,181,85.96,661,,,,,,
171.9379676,120388,1780,181,85.99,663,4.028465268223784,120211,-35.374502448148505,0.001,,
172.00511660000004,120733,1784,181,86.01,664,3.6772377782089767,120556,-35.690461801928144,0.001,,
,121000,,,,,3.6195631798575905,120898,-35.84040876876476,0.001,85.9,172.80442707538606
172.11011190000005,121075,1788,181,86.02,667,,,,,,
172.02476563,121418,1792,181,86.01,668,3.501210801741656,121240,-35.93140464605287,0.001,,
172.15108914,121761,1796,181,86.04,670,3.677224267360776,121585,-35.85618067896643,0.001,,
,122000,,,,,3.388012497924095,121841,-35.782563941423284,0.001,85.5,171.58302084207534
172.15378023000002,122103,1800,181,86.05,672,3.2497239944546723,121927,-36.02827702012173,0.001,,
172.28105844,122449,1804,181,86.08,674,3.1274572007957544,122272,-35.62620817531239,0.001,,
172.28203675,122793,1808,181,86.06,676,3.9455285557480746,122616,-35.485910149507745,0.001,,
,123000,,,,,3.5047089540681173,122873,-35.301775910133536,0.001,86.0,172.1936350464821
172.22338552000002,123134,1812,181,86.04,678,3.490196914173836,122959,-35.247326429500134,0.001,,
172.17463941000003,123479,1816,181,86.04,680,2.9377145143442376,123302,-35.70443991727607,0.001,,
