train/critic_loss,train/learning_rate,time/total_timesteps,time/fps,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/episodes,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
15.708126900801018,0.001,1187000,,-120.5399910736084,,1186741,,,,504.6306988596916,199.1
16.193682880192014,0.001,1187454,86,-120.29677908761161,226.43,1187135,3960,13793,564.4707177700001,,
16.183462055666105,0.001,1188000,,-119.96922220502582,,1187804,,,,529.7120908379554,235.4
15.053793552398682,0.001,1188325,86,-120.01915209960937,226.82,1188054,3964,13803,566.60142193,,
14.015936800961121,0.001,1189000,,-120.3011447765209,,1188845,,,,518.6675127148628,202.4
,,1189129,86,,226.71,,3968,13811,568.2024650300001,,
14.638497909674278,0.001,1189922,86,-119.67037024864784,227.21,1189649,3972,13817,570.59671899,,
14.978043406718486,0.001,1190000,,-120.63018167147072,,1189834,,,,479.777284771204,195.9
15.860167560669092,0.001,1190740,86,-119.86360483903151,227.87,1190434,3976,13825,573.5453795299999,,
14.202298535000194,0.001,1191000,,-119.3696306402033,,1190872,,,,1056.7092993825675,358.9
15.274773362587238,0.001,1191905,86,-119.98729337494949,231.5,1191554,3980,13838,587.9305318399998,,
16.07142298847097,0.001,1192000,,-119.91140630591006,,1191817,,,,1325.1587882339954,438.8
16.553556084632874,0.001,1193000,,-120.25627061462403,,1192817,,,,1549.1564596146345,545.2
15.428832909812225,0.001,1193724,86,-120.24017015702886,241.49,1193400,3984,13863,622.3637897299999,,
18.769109913858316,0.001,1194000,,-120.34054895174705,,1193636,,,,1012.9660890638828,379.2
16.176505219272492,0.001,1195000,,-120.22089669785062,,1194856,,,,1042.5271081149579,383.0
14.788001847645592,0.001,1195522,86,-120.0978635152181,251.68,1195108,3988,13888,653.72591006,,
18.47907931464059,0.001,1196000,,-119.93479905809674,,1195889,,,,1781.5389292359353,607.0
17.443730558345784,0.001,1196809,86,-119.68061616285792,256.31,1196312,3992,13906,666.57377806,,
17.26389127139066,0.001,1197000,,-119.98875195372338,,1196721,,,,731.5884911298751,303.8
17.37249158303949,0.001,1198000,,-119.50966595999802,,1197461,,,,1564.117499713786,572.8
17.8324526553154,0.001,1198986,86,-119.24303736877441,269.62,1198461,3996,13936,704.65801154,,
17.263451793373857,0.001,1199000,,-119.25051963492615,,1198898,,,,1083.7761224925518,366.9
18.751348597757662,0.001,1200000,,-119.1171004652311,,1199537,,,,2606.749342495203,776.3
18.052133116722107,0.001,1201000,,-119.03196974182129,,1200537,,,,905.7264593362809,303.6
,,1201239,86,,283.97,,4000,13967,754.6695491600002,,
18.57645939591849,0.001,1202000,,-118.61788648779702,,1201873,,,,866.1408338427543,308.7
19.332483133537107,0.001,1202820,86,-118.63091863683752,287.85,1202537,4004,13985,768.4456022900001,,
17.08313400561993,0.001,1203000,,-118.04266886808435,,1202732,,,,682.3392680197954,256.5
