rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/episodes,train/critic_loss,rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length
,,0.001,,14.926950555086135,,31999,-76.52648191833497,33000,,1047.6877919197082,1000.0
,,0.001,,15.139394561052322,,32999,-80.28969117736817,34000,,1025.387832647562,1000.0
158.69,273,0.001,416,15.231705145597457,231.61635936,33999,-82.80569602966308,34652,126,,
156.48,277,0.001,420,10.230638635569605,225.93031154,34719,-85.55390766688755,34783,125,,
153.92,277,0.001,424,50.73223008049859,219.96070537,34829,-83.8820783174955,34883,125,,
151.43,278,0.001,428,27.86537558691842,214.11586864,34942,-86.973452674018,34996,125,,
,,0.001,,46.197594819245516,,34969,-86.1979722243089,35000,,33.99349005818367,27.3
149.04,279,0.001,432,40.72409917178907,208.78392718999996,35070,-85.10816955566406,35126,125,,
146.79,279,0.001,436,44.006148353699714,204.02886236999998,35193,-86.41203460693359,35236,125,,
144.27,280,0.001,440,31.96420383453369,199.06589007,35277,-86.19362224232067,35331,126,,
141.72,280,0.001,444,15.478978138703566,193.97369523000006,35382,-87.7288560133714,35432,126,,
142.73,282,0.001,448,39.24222782941965,194.52214584,35561,-86.0368396074344,35904,127,,
,,0.001,,29.188964608349377,,35877,-87.38831131367743,36000,,873.5233762323857,824.8
,,0.001,,34.385184915065764,,36877,-88.38591488647461,37000,,1049.9120151221753,1000.0
,,0.001,,33.16765071487427,,37877,-91.53268101501465,38000,,1047.6985886335374,1000.0
,,0.001,,30.42086542606354,,38877,-93.25403945922852,39000,,605.6119182527066,557.5
174.07,333,,452,,224.82123946,,,39407,118,,
,,0.001,,25.271033293828015,,39875,-94.72276182628814,40000,,333.3528048694134,279.1
180.86,343,0.001,456,31.56782917817914,230.60550359,40206,-95.092431861234,40414,117,,
,,0.001,,29.234882295772593,,40811,-95.28277333577473,41000,,369.02663256525994,308.7
187.38,351,0.001,460,40.496755221310785,236.17910441000004,41049,-96.41990469283417,41444,117,,
,,0.001,,31.599925038230865,,41899,-97.02485808693027,42000,,1053.6199441939593,1000.0
,,0.001,,37.78764867019653,,42899,-97.81715852355957,43000,,598.5902015268803,517.8
207.93,379,0.001,464,28.795320237058878,255.92312298000002,43438,-97.72484650788483,43882,115,,
,,0.001,,33.64450317492588,,43855,-98.11867941342868,44000,,817.9266426682473,727.4
,,0.001,,34.3599089803966,,44596,-98.46332936659657,45000,,533.8120641767979,442.7
,,0.001,,30.37122367982623,,45684,-97.67942324771157,46000,,841.1666620373726,678.0
228.91,411,,468,,277.55860911999997,,,46356,112,,
,,0.001,,31.333845573247864,,46329,-97.54096769249958,47000,,1059.229696983099,1000.0
,,0.001,,28.242272233486176,,47329,-98.11605686950683,48000,,813.5782851576805,653.2
,,0.001,,29.490585757725274,,47999,-98.365237221789,49000,,1054.6270372986794,1000.0
,,0.001,,30.70789281845093,,48999,-98.68024031066895,50000,,1056.6593167364597,1000.0
261.86,469,,472,,310.07536274,,,50026,106,,
,,0.001,,29.523132994174958,,49999,-99.33233375549317,51000,,1059.1278631865978,1000.0
,,0.001,,29.234917766601704,,51870,-101.3367225401992,52000,,1071.848564749956,1000.0
,,0.001,,30.23972718667984,,52870,-102.35431198120118,53000,,855.6111981481314,711.1
293.77,522,,476,,342.28390816000007,,,53584,102,,
,,0.001,,30.687378066422465,,53557,-102.51031736590772,54000,,759.9614037454128,609.1
,,0.001,,30.553364979297626,,54756,-103.3360666859431,55000,,943.9557295739651,781.1
,,0.001,,28.117134238645086,,55565,-103.63833863664381,56000,,1083.5742177724837,996.7
320.14,563,,480,,370.37837675000003,,,56592,100,,
,,0.001,,28.833962318897246,,56565,-103.54605378723144,57000,,796.239624029398,646.5
,,0.001,,26.26052539828325,,57879,-104.1560092348041,58000,,593.4724097371102,426.4
338.14,590,0.001,484,24.14362783589453,391.13200113,58303,-104.25717591339688,58759,99,,
,,0.001,,24.35515857187462,,58732,-103.81061323298964,59000,,539.4257079184056,374.2
,,0.001,,27.42179433387003,,59956,-103.73305695632408,60000,,543.4069503903389,371.6
350.39,607,,488,,406.3630811999999,,,60357,99,,
,,0.001,,23.952418853538205,,60726,-103.29877048068576,61000,,553.2741349458695,423.2
,,0.001,,21.481808580749338,,61587,-103.63208475420552,62000,,639.1413163185119,488.3
363.31,627,,492,,421.68323718000005,,,62107,98,,
,,0.001,,22.386002576543156,,62763,-103.60215575813898,63000,,607.0308922052384,446.5
,,0.001,,18.488997253585843,,63747,-104.34235064903002,64000,,752.3210066437721,584.9
383.27,653,,496,,444.97727316000004,,,64478,98,,
,,0.001,,27.289469561648012,,64786,-104.92336368560791,65000,,603.8372565686702,441.6
384.78,669,0.001,500,20.625571215298116,450.44089999000005,65489,-105.92294278958948,65911,98,,
,,0.001,,22.098011189472825,,65884,-105.76186397822217,66000,,486.65894743800163,321.2
,,0.001,,20.391248353511006,,66882,-106.89781112219455,67000,,571.3040977180004,364.3
393.92,685,,504,,467.18624571999993,,,67263,98,,
,,0.001,,20.754118841924484,,67925,-107.22018024420282,68000,,462.0820941209793,319.6
404.98,697,0.001,508,19.2943608045578,485.86025083,68245,-107.33030376434326,68634,98,,
,,0.001,,25.645872213050183,,68966,-107.30808876885308,69000,,467.3547345995903,328.0
,,0.001,,21.408925641307516,,69652,-108.07847418179169,70000,,653.7696494102478,483.5
391.37,715,,512,,477.69430928,,,70163,98,,
,,0.001,,18.984389726780662,,70136,-108.15538151008039,71000,,1061.2217311501504,1000.0
,,0.001,,20.583853800519766,,71692,-109.32511377677643,72000,,525.1536496400834,357.9
379.58,742,0.001,516,23.45385142005879,469.1339912000001,72061,-109.24397281978442,72610,97,,
,,0.001,,23.202380451206047,,72583,-109.99080646266425,73000,,702.7937273263931,527.2
,,0.001,,23.023026489328455,,73660,-111.04468152081525,74000,,514.7275575757027,371.6
399.31,763,0.001,520,22.218491119398198,495.60704073,74228,-111.88102415917625,74714,97,,
,,0.001,,17.987134950612884,,74687,-111.91704635953279,75000,,600.0249870300293,417.8
,,0.001,,23.222425335039528,,75586,-112.57596917879783,76000,,752.0298354268074,479.1
412.83,782,0.001,524,27.05466244705568,514.92296431,76063,-112.86774886956736,76166,97,,
,,0.001,,16.87307389866222,,76936,-112.72030237371271,77000,,385.7382167607546,200.2
420.96,790,,528,,526.2045214799999,,,77092,97,,
425.84,794,0.001,532,21.78744529359904,534.2305762,77559,-113.32593813809481,77710,97,,
,,0.001,,26.34909371442573,,77855,-113.12940615276958,78000,,552.862145882845,369.8
433.71,803,0.001,536,24.290681336266655,548.9225090599999,78410,-112.72433098879728,78607,97,,
