time/fps,time/time_elapsed,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
188,79,14846,-51.740185601370676,88.83,15.511191924413046,14959,268,168.48233352,0.001,,
,,14932,-52.07912595881972,,14.05163456118384,15000,,,0.001,158.99639582037926,82.4
187,81,15175,-52.061954400478264,88.64,14.357378501158495,15283,272,168.04830470999997,0.001,,
187,83,15520,-53.85681177775065,89.37,14.152813397096784,15636,276,169.75716756999998,0.001,,
188,84,15876,-53.3295022715693,91.13,19.064504398094428,15993,280,173.48919332000006,0.001,,
,,15966,-54.12677137586805,,17.28490071826511,16000,,,0.001,175.43124511241913,88.1
187,87,16236,-54.44503858815069,91.41,15.01068204837841,16353,284,173.94594970999998,0.001,,
187,89,16593,-55.046492936876085,85.38,15.825997161865235,16712,288,167.87571649999998,0.001,,
,,16951,-55.47363064505837,,15.617125752266872,17000,,,0.001,179.606218791008,89.7
186,91,,,85.73,,17068,292,168.77288585000002,,,
187,92,17304,-56.264301465905234,86.65,16.35366125728773,17410,296,170.71527383,0.001,,
187,94,17619,-57.24541708139273,87.37,18.33557152748108,17725,300,172.17359313999998,0.001,,
,,17944,-57.52465394485829,,19.999595081104953,18000,,,0.001,151.6217021226883,78.9
186,96,,,87.46,,18049,304,172.42895585,,,
187,98,18263,-58.47002066635504,87.11,17.17451138031192,18368,308,171.55900868,0.001,,
187,99,18578,-58.83340520858765,86.77,17.074980407953262,18686,312,170.74325047,0.001,,
,,18896,-58.787918621980694,,16.193366711652732,19000,,,0.001,156.97488827109336,79.8
187,102,18976,-59.659773445129396,87.62,15.488289779424667,19113,316,171.57576298,0.001,,
,,19342,-59.53329318502675,,15.006716313569441,20000,,,0.001,989.9110459983349,1000.0
183,111,,,96.17,,20369,320,179.09562095000004,,,
,,20423,-64.26590948104858,,19.704694936304918,21000,,,0.001,990.1645643293857,1000.0
,,21423,-65.83580384063721,,18.974861010551454,22000,,,0.001,994.4725590705872,1000.0
,,22423,-68.42015661621093,,21.749372675895692,23000,,,0.001,946.4868719607591,915.4
161,144,,,123.64,,23450,324,204.21253860999997,,,
,,23423,-74.28436767578125,,24.095437516212463,24000,,,0.001,1014.2137955665588,1000.0
153,160,24496,-79.75974408318015,131.36,17.481023239366937,24567,328,208.9650965,0.001,,
153,161,24662,-79.56332863701715,129.38,46.632347928153145,24726,332,203.87942226999994,0.001,,
153,161,24820,-79.40133993966239,127.26,120.67768868945893,24872,336,198.66867383000002,0.001,,
153,162,24933,-81.10875936654898,125.14,27.666653951009113,24997,340,193.70526206000002,0.001,,
,,24970,-82.945262708162,,36.78976615699562,25000,,,0.001,49.21622008085251,35.5
153,163,25067,-82.46460469563802,123.17,90.81115142822266,25125,344,189.20767106,0.001,,
153,164,25178,-82.26565987723214,120.67,47.48395674569266,25229,348,183.44023319999997,0.001,,
154,164,25276,-82.37604713439941,117.96,59.61515498161316,25327,352,177.24468302000002,0.001,,
154,164,25365,-82.8718428178267,115.21,30.183255195617676,25415,356,171.04721531999996,0.001,,
154,165,25461,-83.74047724405925,112.51,174.900115814209,25509,360,164.88399147999996,0.001,,
154,165,25560,-84.44844465989333,109.91,112.6009324147151,25614,364,158.86116540999998,0.001,,
154,166,25664,-84.81212674654446,107.68,48.73556071061354,25727,368,153.74075599999998,0.001,,
155,166,25780,-84.42262377057757,106.52,138.99284492220198,25935,372,151.04906322000002,0.001,,
,,25965,-85.08941977364677,,117.0815886135759,26000,,,0.001,28.284763205051423,24.8
155,168,25990,-86.7239749615009,104.11,90.8874552154541,26047,376,145.28058335000003,0.001,,
155,168,26098,-87.99774333408901,101.59,119.75092308861869,26152,380,139.40672941999998,0.001,,
155,169,26205,-90.11644040621243,99.04,67.40653242888274,26257,384,133.42815622,0.001,,
