rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
143.39,182,233,42534,484,341.56695559,42334,-56.824535567184974,21.78546566798769,0.001,,
,,,43000,,,42848,-56.57625725690056,24.35262681456173,0.001,573.3952508985997,178.8
142.05,181,236,43104,488,340.62669279,,,,,,
141.28,182,240,43795,492,342.47702221,43582,-56.305156180199155,25.607336074910698,0.001,,
,,,44000,,,43719,-57.12268004697912,22.405048694053704,0.001,681.9621550619602,214.3
141.55,181,245,44528,496,351.3036108799999,44299,-57.08922395802507,26.100604606397223,0.001,,
,,,45000,,,44804,-56.66301135802537,19.17496485090525,0.001,711.2044837534428,221.9
144.37,181,250,45363,500,365.19178741999997,45009,-56.852644901649626,23.500992114369463,0.001,,
,,,46000,,,45829,-57.20261618431578,20.805132267322946,0.001,542.8335886955261,178.0
144.89,180,255,46072,504,373.31012394,,,,,,
145.39,180,258,46751,508,379.9330506,46471,-57.633870250046854,21.28770853774716,0.001,,
,,,47000,,,46829,-57.75632803780692,26.844689759341154,0.001,1041.8371226906777,531.0
148.01,178,266,47591,512,385.69974411,47370,-57.641132505813445,25.407354926118757,0.001,,
,,,48000,,,47865,-57.884453979193,26.360765349631215,0.001,763.9940625667572,438.9
150.6,177,272,48401,516,396.26299616000006,48063,-58.133296966552734,27.41475897605973,0.001,,
,,,49000,,,48325,-58.25907883389306,26.629996743821007,0.001,1051.5675748288631,1000.0
,,,50000,,,49325,-58.50366877746582,25.736714628219605,0.001,916.124857133627,758.4
169.55,171,297,50855,520,413.8408905800001,50648,-58.85858410964777,25.835967258772246,0.001,,
,,,51000,,,50779,-59.03477049607497,27.729442050438802,0.001,542.7049581706524,209.2
172.81,170,302,51741,524,418.6888993300001,51513,-59.187587070465085,26.03906611288237,0.001,,
,,,52000,,,51899,-59.226912963084686,29.785569667816162,0.001,1132.289795023203,412.7
177.28,169,310,52735,528,426.98178595999997,52473,-60.19817181995937,30.723672781671798,0.001,,
,,,53000,,,52920,-59.82565178504357,33.4288807282081,0.001,216.69829177856445,127.9
178.39,169,314,53402,532,428.62531452,53045,-60.120335609682144,32.66717879486084,0.001,,
178.09,169,317,53916,536,425.2554718600001,53712,-59.601935498854694,29.94578479318058,0.001,,
,,,54000,,,53840,-59.256935238838196,34.80977523326874,0.001,152.7126939892769,89.8
,,,55000,,,54660,-59.919263172486644,34.93569021478164,0.001,974.4887382507325,341.0
183.95,169,324,55028,540,441.0362306999999,,,,,,
187.94,169,329,55965,544,454.7880598600001,55771,-60.29565518815941,33.015488361643854,0.001,,
,,,56000,,,55889,-60.3301297850528,35.33652502803479,0.001,332.564328533411,156.5
190.53,170,332,56732,548,461.2697387,56329,-60.14367669628513,38.73446881103516,0.001,,
,,,57000,,,56903,-59.97458606958389,37.12063802674759,0.001,198.4455710172653,116.4
190.15,169,336,57211,552,456.7107803900001,57026,-60.558280206495716,35.293341303259375,0.001,,
190.31,170,339,57742,556,455.86418604,57545,-59.8343194325765,38.66827238930596,0.001,,
,,,58000,,,57839,-60.22346190519111,35.662666695655425,0.001,124.74599636443891,89.1
189.15,169,342,58144,560,454.0392085100001,58039,-59.07502746582031,44.17388068928438,0.001,,
184.81,169,342,58281,564,440.1241892300001,58170,-60.14230829874675,36.4269136428833,0.001,,
180.74,170,343,58508,568,424.9444140199999,58394,-60.02845844145744,37.09110163866989,0.001,,
177.22,170,344,58684,572,412.46044673000006,58565,-59.85875930786133,41.240800531899055,0.001,,
174.26,170,345,58886,576,401.60161366000006,58741,-60.36571412927964,36.3304328918457,0.001,,
,,,59000,,,58810,-60.65071247645787,45.72895495096842,0.001,70.85095593398437,74.2
170.84,170,346,59122,580,388.13759352,59013,-60.30351489523183,38.45395900892175,0.001,,
167.87,170,347,59321,584,377.57841327,59183,-60.89449392046247,40.142099949351525,0.001,,
164.04,170,348,59508,588,363.30021546999996,59390,-60.76327102661133,44.24578257969448,0.001,,
159.26,170,349,59721,592,344.94557756,59590,-61.09506623641305,44.459581706834875,0.001,,
153.71,170,350,59899,596,322.76706321000006,59789,-61.72518179151747,34.25255507391852,0.001,,
,,,60000,,,59922,-61.20853603587431,32.71960518576882,0.001,17.575888939667493,34.9
146.69,170,351,60032,600,296.72301674999994,,,,,,
140.98,170,352,60170,604,275.57781624999996,60060,-60.75067392985026,37.172083377838135,0.001,,
135.81,171,352,60332,608,256.35533313999997,60216,-60.20775852203369,36.7644121170044,0.001,,
128.81,171,353,60472,612,238.29954868000002,60357,-60.8765027663287,37.36540053231376,0.001,,
122.18,171,353,60619,616,215.11822611999997,60511,-61.043631076812744,34.58554435498787,0.001,,
98.9,171,354,60745,620,184.77737601,60640,-61.38759657915901,40.29557463702034,0.001,,
91.27,171,355,60868,624,167.04048652000006,60762,-61.639111280441284,34.6028690636158,0.001,,
82.54,171,355,60989,628,145.55830022,60884,-61.70431950887044,49.45622386932373,0.001,,
,,,61000,,,60913,-61.06547464643206,45.355497426000134,0.001,10.107048009801655,29.3
77.03,171,356,61105,632,131.74602423,60999,-62.38788087027414,33.49433977850552,0.001,,
73.13,171,356,61229,636,123.40221339,61123,-62.41961336135864,37.17159974575043,0.001,,
63.29,171,357,61357,640,96.00640695,61251,-61.989537715911865,37.30395179986954,0.001,,
55.18,171,357,61483,644,70.59686113999999,61375,-62.04540812174479,34.47065457990092,0.001,,
48.76,171,358,61608,648,52.69528946,61500,-61.05071187019348,38.19872603877898,0.001,,
45.24,171,359,61735,652,45.54111094000001,61627,-61.37670707702637,33.37965726852417,0.001,,
41.15,171,359,61857,656,34.25195223,61751,-61.27045262654622,41.35292274721207,0.001,,
38.38,172,360,61982,660,24.126156539999997,61872,-60.6529700756073,36.47399994634813,0.001,,
,,,62000,,,61906,-61.02562175077551,34.414875254911536,0.001,13.020312792630284,31.3
38.25,172,360,62106,664,23.32940783,61998,-60.05740966796875,41.39223709106445,0.001,,
37.37,172,361,62245,668,21.94946681,62130,-60.66441120820887,34.688757058345914,0.001,,
38.76,172,362,62560,672,23.36677497,62384,-60.22757261770743,39.786931603043165,0.001,,
,,,63000,,,62562,-61.04456319564428,39.88990791027363,0.001,1033.7398131608963,1000.0
,,,64000,,,63668,-60.237411858900536,36.36265405618919,0.001,845.2681520611047,815.7
58.58,170,379,64744,676,44.24005065,,,,,,
,,,65000,,,64909,-59.31479221841563,34.88812964895497,0.001,1095.803575628996,1000.0
,,,66000,,,65909,-58.948614112854,33.68443848991394,0.001,1093.6833014011384,1000.0
78.63,166,401,66985,680,66.59795128,,,,,,
,,,67000,,,66909,-58.56304384613037,30.981562037467956,0.001,270.6773702085018,122.8
79.86,165,407,67307,684,71.73441647,67192,-58.10817680358887,30.141053255866556,0.001,,
81.98,165,408,67706,688,78.98945161,67513,-58.21857655432917,28.772798607426306,0.001,,
,,,68000,,,67867,-57.86231402693124,31.16198781440998,0.001,257.55021000504496,116.1
83.95,165,411,68116,692,86.11872992,67982,-58.15975169477792,30.450753070997155,0.001,,
85.94,165,413,68493,696,92.75658575,68340,-58.34425211760957,29.21109302973343,0.001,,
89.55,166,415,68987,700,102.79852166999997,68785,-57.82691094183153,32.04266583534979,0.001,,
,,,69000,,,68911,-58.11162779066298,27.037933107406374,0.001,261.6372281551361,120.3
93.07,165,418,69477,704,112.65088342000003,69277,-57.82216982687673,31.578828704833985,0.001,,
96.24,166,420,69956,708,121.92714461000003,69755,-57.45423482259115,31.30855900446574,0.001,,
,,,70000,,,69880,-58.02770511687748,28.046764183044434,0.001,262.52730711102487,121.1
99.72,166,424,70444,712,131.81519280999999,70246,-57.78391146659851,29.958998747697965,0.001,,
103.08,166,426,70927,716,141.45150495,70733,-57.98162002563477,28.765998323758442,0.001,,
,,,71000,,,70851,-58.22534328396038,28.86683599827653,0.001,249.11920177340508,115.7
106.43,166,429,71388,720,150.98442766999997,71201,-58.07777592173794,32.025112787882485,0.001,,
110.02,166,431,71870,724,160.98029637000002,71670,-58.020265211138806,30.184723619829143,0.001,,
,,,72000,,,71914,-58.09565836588542,29.780389642715456,0.001,251.37227646112441,115.5
113.54,166,434,72343,728,170.79303650000003,72153,-57.435550043138406,28.282635792964648,0.001,,
117.15,166,437,72820,732,180.82895699,72621,-58.25065118758405,33.70957395507068,0.001,,
,,,73000,,,72862,-58.13781330949169,27.277168176941952,0.001,218.7141792356968,104.2
120.54,166,440,73283,736,190.31060492,73091,-57.530693753560385,33.47143412431081,0.001,,
123.99,166,442,73756,740,200.03045321,73567,-56.98319301605225,31.142184218099295,0.001,,
,,,74000,,,73913,-56.94629504762847,27.741182779443676,0.001,252.29185153245925,115.2
127.37,166,445,74220,744,209.67801614999996,74023,-57.049661948464134,28.705001154812898,0.001,,
130.65,166,447,74673,748,218.97292915000003,74477,-56.5650938384387,30.36024459684738,0.001,,
,,,75000,,,74819,-57.03890200528232,29.70938577737894,0.001,246.9117807030678,110.3
133.79,166,450,75114,752,228.26617966,74928,-56.262298514626245,29.34701706072606,0.001,,
136.91,167,452,75548,756,237.50991696999998,75362,-56.23650967633283,28.946628205130033,0.001,,
,,,76000,,,75803,-56.16564511385831,31.89207345086175,0.001,290.6531914651394,123.0
140.18,166,455,76000,760,247.38729271000003,,,,,,
143.53,167,457,76459,764,257.34220111999997,76263,-56.18166060366873,29.76680007101107,0.001,,
142.62,167,457,76507,768,257.05542431,76420,-55.186628341674805,25.200057203119453,0.001,,
142.85,167,459,76845,772,262.3662521,76632,-55.3658504486084,28.10624732426235,0.001,,
,,,77000,,,76781,-54.73977279663086,46.74682950973511,0.001,1235.962410366535,459.1
128.63,166,465,77607,776,259.74790992,77411,-55.632842425642345,28.605085874425953,0.001,,
110.13,166,467,77998,780,244.21107826999997,77803,-54.19825575086806,28.769241703881157,0.001,,
,,,78000,,,77922,-54.87784881591797,31.807235870040767,0.001,263.93327326774596,113.3
111.56,166,470,78463,784,248.29842255000003,78267,-54.06437683105469,28.478856418092374,0.001,,
112.34,166,473,78940,788,250.94272130000002,78749,-54.41420299723997,27.89977599392418,0.001,,
,,,79000,,,78864,-54.15884392836998,25.991802033134128,0.001,309.8748771369457,129.3
113.2,166,476,79436,792,254.22782370000004,79240,-53.72887351864674,28.354718365945107,0.001,,
