time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
551,132.45810246000002,154,888,69.39,85254,-40.99262249108517,4.408361720316337,85096,0.001,,
552,133.00542158999997,154,892,69.72,85543,-41.454506969451906,4.296856291686432,85372,0.001,,
554,134.27509372999998,154,896,70.5,85859,-41.54202170121042,4.553109056071231,85686,0.001,,
,,,,,86000,-41.266259626908735,4.658304986669056,85901,0.001,68.5,125.47430629921146
556,132.54512377,154,900,70.09,86135,-41.87127009800502,5.072009978975569,85971,0.001,,
557,132.37792483,155,904,69.92,86409,-42.05670416355133,4.514301875921396,86249,0.001,,
558,133.18874050999997,155,908,70.36,86705,-41.69349034627279,4.409529875486325,86544,0.001,,
560,133.02289505000002,155,912,70.43,86990,-41.50173992580838,4.340991301669015,86826,0.001,,
,,,,,87000,-40.84255441029867,4.155555549595091,86898,0.001,75.2,140.84610504612792
562,133.71229343000002,155,916,70.8,87285,-41.93225860595703,4.510648770765825,87120,0.001,,
563,136.05475059999998,155,920,72.32,87692,-41.26221942901611,4.4266387646014875,87395,0.001,,
565,135.88294541,155,924,72.34,87955,-42.20339942700935,4.758949959456031,87799,0.001,,
,,,,,88000,-41.647998452186584,4.727055687457323,87863,0.001,65.6,116.39080829755403
567,135.00694624,155,928,72.17,88222,-41.9372695684433,4.9827819019556046,88056,0.001,,
569,137.10989813,155,932,72.92,88554,-41.95876922607422,5.147516305106027,88392,0.001,,
571,139.51793684,155,936,74.05,88935,-42.33096985194994,5.1608376887536815,88745,0.001,,
,,,,,89000,-42.10480063302176,5.397810274240922,88843,0.001,103.1,193.03481702450662
575,143.51762416,155,940,76.58,89447,-41.79325960196701,5.472371966968029,89248,0.001,,
,,,,,90000,-41.88649002075195,5.082016162872314,89545,0.001,182.9,238.34447259005393
580,144.37995663,155,944,80.14,90096,-41.81866274993432,5.626909408472517,89939,0.001,,
581,144.30877178,155,948,80.25,90356,-41.94503648819462,4.880573480848282,90197,0.001,,
583,143.92170349000003,155,952,80.19,90621,-41.85262737852155,4.7996070673971465,90464,0.001,,
584,143.32415849,155,956,79.97,90886,-41.86432000362512,4.529925683828501,90724,0.001,,
,,,,,91000,-40.8835097804214,4.600663029786312,90860,0.001,58.9,112.56841870814097
586,142.23182441,155,960,79.52,91157,-41.07759017944336,5.025002434283873,90998,0.001,,
588,142.11845754,155,964,79.42,91423,-41.39049123128255,4.439120957108795,91257,0.001,,
589,141.85409517,155,968,79.37,91695,-41.104522705078125,5.110365723910397,91538,0.001,,
591,141.31187738,155,972,79.24,91959,-41.15704814365932,5.3199556979580205,91802,0.001,,
,,,,,92000,-41.50384533405304,5.287051252218393,91867,0.001,67.3,118.32150339754298
593,141.05660445,155,976,79.27,92257,-40.88408934551737,4.764500565581269,92100,0.001,,
594,138.96791956,155,980,78.63,92528,-40.84743255223983,4.696871775615064,92375,0.001,,
596,140.28812272000002,155,984,78.91,92866,-41.170475769042966,4.6258760293324785,92612,0.001,,
,,,,,93000,-41.408692235532016,4.745323479175568,92866,0.001,66.2,122.43058780552819
599,142.81333568,155,988,79.81,93235,-41.31597785949707,4.685769953970182,93078,0.001,,
600,142.16411971,155,992,79.53,93496,-41.782935810089114,4.70056341290474,93341,0.001,,
602,140.77777783000002,155,996,78.87,93746,-41.92560551961263,4.68186848560969,93592,0.001,,
603,140.38959340000002,155,1000,78.57,93992,-41.76183891296387,4.858790878454844,93838,0.001,,
,,,,,94000,-42.04358180876701,5.075559054651568,93900,0.001,60.4,117.98792943507324
605,140.19514189,155,1004,78.38,94247,-41.41192206021013,4.776292509951834,94079,0.001,,
607,140.0211476,155,1008,78.27,94532,-41.63977739887853,4.386144872634642,94354,0.001,,
609,140.53313875,155,1012,78.5,94840,-42.54639304311652,4.824668998842116,94673,0.001,,
,,,,,95000,-41.57684488296509,4.602543643758267,94892,0.001,66.0,119.72050586168189
611,140.04072344999997,155,1016,78.31,95116,-42.04168261903705,4.200409549655336,94958,0.001,,
612,138.37339282,155,1020,77.18,95410,-42.74196012092359,3.9686533123699586,95217,0.001,,
614,140.24285327,155,1024,77.87,95742,-42.2033161241181,4.754454978788742,95585,0.001,,
,,,,,96000,-42.39021707350208,4.845713342939105,95847,0.001,70.9,133.62005766686053
616,140.42166042000002,155,1028,77.89,96011,,,,,,
618,138.57476461,155,1032,77.17,96271,-42.242083578398734,4.420817125760592,96114,0.001,,
619,136.16013069000002,155,1036,75.99,96534,-42.11864740708295,4.3219605097130165,96376,0.001,,
621,132.24069031,155,1040,73.35,96782,-41.981666318831905,4.412674653914667,96627,0.001,,
,,,,,97000,-42.013807235225556,4.630101779150585,96877,0.001,63.4,120.60979837959167
623,130.72374825,155,1044,69.36,97032,,,,,,
624,130.73889789999998,155,1048,69.25,97281,-42.25497678120931,4.775496824582418,97128,0.001,,
626,130.85609202,155,1052,69.08,97529,-42.610253189549304,4.219866151240335,97379,0.001,,
627,130.88692332999997,155,1056,68.86,97772,-42.072476540842366,4.409133668805732,97616,0.001,,
,,,,,98000,-41.97375499840939,4.150001374157992,97876,0.001,62.7,123.75225287078646
629,130.69996534,155,1060,68.74,98031,,,,,,
630,130.71803639,155,1064,68.63,98286,-42.66193759802616,4.61581792975917,98135,0.001,,
632,130.71935102,155,1068,68.34,98529,-42.245541381835935,4.436959408097348,98374,0.001,,
633,130.99801684,155,1072,68.26,98785,-42.91557490825653,4.4731181424761575,98628,0.001,,
,,,,,99000,-41.7441150296119,4.057428062939253,98884,0.001,59.4,120.44437440357869
635,130.75651353,155,1076,67.78,99035,,,,,,
637,130.73186869,155,1080,67.48,99276,-42.467190157982614,4.498469391176777,99124,0.001,,
638,128.40660103,155,1084,66.63,99529,-41.94597718209931,4.338397268148569,99374,0.001,,
640,125.80180076999999,155,1088,65.51,99786,-43.26133767489729,4.472518266257593,99633,0.001,,
,,,,,100000,-42.48999436696371,4.153675963481267,99887,0.001,70.6,130.13934546429664
642,126.00546586,155,1092,65.56,100052,,,,,,
644,126.21146001999999,155,1096,65.42,100288,-43.12590855565564,4.248784696846678,100136,0.001,,
645,126.51132234999999,155,1100,65.29,100521,-42.77539575511012,4.303924934617404,100370,0.001,,
647,126.60535443,155,1104,65.15,100762,-42.70023702806042,4.458265204583445,100609,0.001,,
,,,,,101000,-43.129884535266505,4.085734332761457,100853,0.001,58.1,121.0436545033037
649,126.30745575,155,1108,64.7,101002,,,,,,
650,125.5985508,155,1112,64.01,101241,-41.801863703234446,4.0924106816114,101091,0.001,,
652,125.66188795000002,155,1116,63.84,101500,-42.28033717986076,4.145319319540454,101346,0.001,,
654,124.8821807,155,1120,63.33,101743,-42.072244008382164,4.502378539244334,101589,0.001,,
656,123.01603473000002,155,1124,62.53,101995,-42.121269450468176,4.026097262606902,101839,0.001,,
,,,,,102000,-41.87086296081543,4.159916929900646,101903,0.001,58.8,117.94198696687818
659,123.52662728999998,155,1128,62.57,102268,-42.55741433037652,4.184283039072057,102113,0.001,,
661,123.97990843,154,1132,62.6,102531,-41.935797855771824,4.261524183996793,102383,0.001,,
663,124.03995052000002,154,1136,62.4,102774,-42.628780126571655,4.521115753799677,102622,0.001,,
,,,,,103000,-42.800476197273504,4.583068232382497,102863,0.001,61.1,122.43244262046646
666,124.16124754,154,1140,62.32,103014,,,,,,
668,124.30554176000001,154,1144,62.39,103271,-42.785725501275834,4.152748280955899,103116,0.001,,
671,124.41482515999998,154,1148,62.29,103510,-43.12672780354818,4.11524996360143,103353,0.001,,
673,124.85993638,154,1152,62.5,103779,-42.86364693477236,4.2261097350363,103629,0.001,,
,,,,,104000,-42.421592116355896,3.9750493288040163,103873,0.001,65.3,129.00027408599854
675,125.12501315,154,1156,62.64,104036,,,,,,
677,125.77608204,153,1160,62.8,104311,-43.05109825134277,4.383266639709473,104133,0.001,,
680,126.57481602,153,1164,63.01,104587,-42.717762076336406,4.229996017787768,104434,0.001,,
