rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
85.25,176,444,169.89966962000003,27971,158,0.001,4.321019896241122,27789,-38.44920987861101,,
,,,,28000,,0.001,5.38512897768686,27875,-38.668659565060636,171.41050694584845,86.2
85.27,179,448,169.94810697999998,28316,158,0.001,3.8410619538883832,28134,-38.21433054014694,,
84.73,180,452,168.76706435,28598,158,0.001,6.120516282181407,28417,-38.52172532192496,,
85.13,182,456,169.63173326999996,28943,158,0.001,5.406467344569064,28761,-38.722810079885086,,
,,,,29000,,0.001,5.787512962208238,28847,-38.723419189453125,173.1205867111683,86.4
85.14,185,460,169.66219764000002,29287,157,0.001,4.986931615097578,29105,-38.7956322958303,,
85.16,187,464,169.64692251999998,29632,158,0.001,4.803173457467278,29451,-38.37898476179256,,
85.19,189,468,169.63329694000004,29975,158,0.001,5.847377609374911,29794,-38.820666823276255,,
,,,,30000,,0.001,5.399032271609586,29879,-39.00843266078404,171.3591155230999,86.1
85.23,191,472,169.63907646000004,30321,157,0.001,4.5868828735132325,30139,-38.63348060430482,,
85.21,193,476,169.58465074999995,30666,158,0.001,4.87923866304858,30484,-38.92256728085604,,
,,,,31000,,0.001,4.236210283191725,30829,-38.9154728734216,167.4783652126789,85.5
85.39,196,480,170.00030277,31011,157,,,,,,
85.51,198,484,170.24300051999998,31354,157,0.001,4.629193573839524,31172,-38.601634003395255,,
85.49,200,488,170.15180301999996,31699,158,0.001,3.857793004013771,31516,-38.48927378100018,,
,,,,32000,,0.001,4.501506632150606,31861,-38.727752774260765,171.3090112030506,86.1
85.48,203,492,170.04579635000002,32043,157,,,,,,
85.46,204,496,169.97576,32389,158,0.001,3.998716960008117,32206,-39.17574353651567,,
85.44,206,500,169.88445617999997,32733,158,0.001,4.781253348949344,32551,-38.80870144866233,,
,,,,33000,,0.001,5.822312356427658,32896,-38.61467884862146,170.12629363536834,86.2
85.42,209,504,169.84835116,33078,157,,,,,,
85.4,211,508,169.80075949000002,33421,157,0.001,4.518012814138127,33239,-38.686607183412065,,
85.39,213,512,169.77124268,33765,158,0.001,5.520153752593107,33583,-39.009385929551236,,
,,,,34000,,0.001,5.729429942018846,33841,-39.557384581792924,170.7647963166237,85.5
85.38,216,516,169.68841534,34106,157,0.001,3.9875141936679217,33927,-38.907920393832896,,
85.43,218,520,169.87274827999997,34447,157,0.001,4.799135848170235,34266,-39.29438908894857,,
85.39,220,524,169.78738069999997,34789,158,0.001,4.057329566338483,34607,-39.00501414707729,,
,,,,35000,,0.001,3.527555069753102,34863,-39.2806217556908,169.86003431081772,85.1
85.37,222,528,169.76352242000002,35131,157,0.001,3.742560727651729,34949,-39.38109508780546,,
85.31,224,532,169.78666120999998,35471,157,0.001,5.651521548102884,35290,-39.45688114609829,,
85.26,226,536,169.79511166999998,35810,157,0.001,3.8076881506863764,35629,-38.71327872503372,,
,,,,36000,,0.001,4.564517360358011,35882,-38.907992771693635,171.5380452096462,84.9
85.19,229,540,169.87553307,36146,157,0.001,3.0047887166341147,35966,-39.277105058942524,,
85.16,231,544,169.88201633,36487,157,0.001,4.295727867026661,36306,-38.92882963668468,,
85.09,233,548,169.93918336000002,36825,157,0.001,4.008807323960697,36645,-39.37267875671387,,
,,,,37000,,0.001,6.447423546087174,36899,-39.88085483369373,173.28534628748895,85.1
85.67,235,552,171.31187827000002,37165,157,0.001,5.460141714881448,36984,-39.92425962936046,,
85.58,237,556,171.17504152,37501,157,0.001,5.159743333971778,37320,-39.258198139279386,,
85.54,239,560,171.29485632999993,37841,157,0.001,5.670766154457541,37660,-39.21029388072879,,
,,,,38000,,0.001,3.9473292605821477,37831,-39.562748132750045,172.28638443946838,84.7
85.49,242,564,171.37034441000003,38181,157,0.001,4.298794138999212,38000,-39.562399092174715,,
85.43,244,568,171.43942413999997,38518,157,0.001,5.9910233318805695,38338,-39.85911432902018,,
85.35,245,572,171.54401583000003,38856,157,0.001,4.298849955727072,38677,-39.17582048688616,,
,,,,39000,,0.001,7.557769076964434,38845,-39.642934072585334,174.01015103459358,84.4
85.3,248,576,171.59617678000004,39196,157,0.001,4.017208260648391,39015,-39.577395212082635,,
85.24,250,580,171.73617851999998,39535,157,0.001,4.271907361815957,39354,-39.19663664352062,,
85.21,252,584,171.91562768,39875,158,0.001,4.8393754440195424,39694,-40.22112256427144,,
,,,,40000,,0.001,4.610323927232197,39863,-40.06462932768322,172.3658276259899,84.5
85.14,254,588,172.01237125,40213,157,0.001,4.191548337655909,40033,-40.02479571387882,,
85.09,256,592,172.16037600999996,40552,157,0.001,4.654718787529889,40372,-39.47817407652389,,
84.92,258,596,171.88959433999997,40881,158,0.001,4.431756687164307,40702,-39.59479673518691,,
,,,,41000,,0.001,5.106088398484623,40870,-40.19658554432004,172.2368824183941,85.5
84.65,261,600,171.38419090999997,41198,157,0.001,5.642211647497283,41027,-39.75299824608697,,
84.21,262,604,170.3603397,41499,157,0.001,6.089284539222717,41325,-40.12221760219998,,
83.54,264,608,168.70677926999997,41775,157,0.001,5.168122750062209,41630,-39.487144176776596,,
,,,,42000,,0.001,5.002745276764978,41837,-39.502342713184845,172.87380743026733,86.3
83.33,266,612,168.20208893999995,42098,157,0.001,4.86745133756221,41924,-39.55573159998114,,
82.98,268,616,167.35117998,42404,157,0.001,5.9287239166155254,42236,-39.53749630902264,,
82.61,270,620,166.42720086,42708,157,0.001,3.2052388426504637,42535,-39.76435069033974,,
81.83,271,624,164.61929306000002,42972,158,0.001,5.599601009557413,42803,-40.04367287214412,,
,,,,43000,,0.001,4.282860982907962,42876,-39.3680396208892,171.43254055380822,85.6
81.78,274,628,164.47978235000002,43309,157,0.001,5.312699853619443,43127,-40.043013156988685,,
81.4,276,632,163.37141711999996,43611,157,0.001,5.7180288735558005,43429,-40.01330838884626,,
80.98,277,636,162.14236301000003,43908,158,0.001,6.816432840602342,43726,-39.737873787103695,,
,,,,44000,,0.001,6.772179908530656,43898,-39.845383488854694,157.1396810591221,79.6
80.73,280,640,160.73387938,44219,157,0.001,5.52831818943932,44046,-40.45885717868805,,
79.62,281,644,157.57932513000003,44449,157,0.001,9.296910927845882,44305,-40.53674668532152,,
78.56,282,648,154.37224751,44681,157,0.001,6.422797647015802,44537,-40.06968675810715,,
77.3,284,652,150.76208017000002,44895,158,0.001,5.8296925917006375,44754,-40.98043573313746,,
,,,,45000,,0.001,6.95641949630919,44887,-41.062537783668155,67.1481903553009,43.0
75.64,285,656,146.66055008000004,45065,157,0.001,9.246555220249087,44930,-40.02054804021662,,
73.86,286,660,142.19865921000002,45227,158,0.001,8.463226042142729,45083,-40.70564289093018,,
72.4,287,664,138.25007736,45421,158,0.001,7.842460471041062,45278,-40.91710296043983,,
71.07,288,668,134.46673690999998,45625,158,0.001,7.810395372765405,45478,-40.905970982142854,,
70.11,289,672,131.07380887,45867,158,0.001,8.026807671412826,45708,-40.92758345603943,,
,,,,46000,,0.001,5.025910930813484,45897,-41.33464549137996,75.38698729872704,52.1
69.17,291,676,127.78991475000001,46113,158,0.001,6.800227844490196,45950,-41.40721723768446,,
68.53,293,680,124.77276256,46388,158,0.001,4.677403800627765,46223,-41.42423988791073,,
67.86,294,684,121.65576021999999,46661,158,0.001,5.09634332207666,46497,-41.18236609066234,,
67.16,296,688,118.33526857999999,46929,158,0.001,6.950299292802811,46765,-41.89159303552964,,
,,,,47000,,0.001,14.038780436999556,46902,-42.07294344220843,97.12379495501519,68.9
66.5,298,692,115.06027076999999,47202,158,0.001,7.017618741562117,47038,-41.834204729865576,,
65.88,299,696,111.99404824999999,47469,158,0.001,5.6343042423476035,47306,-42.274066027473,,
65.43,301,700,109.45844616999997,47741,158,0.001,5.646533442966974,47577,-42.29875865127101,,
,,,,48000,,0.001,6.94659573962723,47851,-43.141629948335535,89.04453526656144,66.9
65.15,303,704,107.41727725000003,48014,158,,,,,,
65.09,304,708,105.90614957000001,48284,158,0.001,6.399963107179193,48120,-42.700097364537854,,
64.6,306,712,103.41795351,48558,158,0.001,8.492562964342643,48395,-43.21357345581055,,
64.28,308,716,101.37607188,48832,158,0.001,7.43601941185839,48667,-42.67699791403378,,
,,,,49000,,0.001,7.8562803907670835,48874,-43.095579092843195,107.20237216949462,70.7
64.02,310,720,99.56366726000002,49110,158,0.001,6.707895239761897,48944,-43.345992170061386,,
64.17,312,724,98.62204471999999,49389,158,0.001,6.310511633328029,49222,-43.20365611485072,,
63.59,313,728,95.97671742,49668,158,0.001,4.696123148713793,49501,-44.98134504045759,,
63.36,315,732,94.29672379000002,49947,158,0.001,6.647862677988798,49782,-44.412242671421595,,
,,,,50000,,0.001,5.785979877347532,49851,-44.06663513183594,117.91535289287567,73.8
63.27,317,736,93.09637241,50235,158,0.001,7.095958134106227,50070,-43.836243983677456,,
63.05,319,740,92.00286893,50524,158,0.001,5.526876599016324,50350,-44.62843651241727,,
63.86,321,744,93.48078806000001,50835,158,0.001,5.523471473138543,50661,-45.06811846219576,,
,,,,51000,,0.001,5.560431487952607,50894,-44.739291477203366,130.31008235812186,77.5
64.59,323,748,94.85404177000001,51140,158,0.001,5.873191378911336,50969,-44.631460653769004,,
65.53,325,752,96.69783851000003,51448,158,0.001,4.987263439557491,51275,-43.93000822800856,,
67.04,327,756,99.78961157000002,51769,158,0.001,6.708346524834633,51600,-43.973713874816895,,
,,,,52000,,0.001,5.189044889108635,51836,-44.8071033198659,146.80874316096305,82.5
68.74,329,760,103.31755962999999,52101,158,0.001,5.951039005208899,51917,-44.6746319770813,,
70.0,331,764,106.66911917000002,52421,158,0.001,4.0577112406492235,52243,-44.22512807846069,,
71.07,333,768,109.40203870999999,52732,158,0.001,6.503268454648271,52564,-44.46837663650513,,
,,,,53000,,0.001,6.412483434466755,52847,-44.628802579991955,139.01574860811235,73.6
71.5,335,772,111.21555033999998,53017,157,,,,,,
71.87,337,776,112.919185,53300,157,0.001,10.290996236343906,53136,-44.94870335346943,,
71.85,339,780,114.04749104999998,53573,157,0.001,4.587169414057451,53414,-44.19350904576919,,
71.96,340,784,115.62089215999998,53857,158,0.001,6.66723965546664,53688,-44.47221666223862,,
,,,,54000,,0.001,5.68523655304542,53900,-44.78463213371508,152.5105337023735,78.5
72.22,343,788,117.57787311999999,54151,157,0.001,5.446278821932126,53973,-44.79154131147597,,
72.38,344,792,119.30471559000001,54440,157,0.001,9.223476533765917,54265,-45.23384586133455,,
72.85,346,796,121.8648553,54754,157,0.001,4.641035059094429,54580,-45.00914430618286,,
,,,,55000,,0.001,4.159804740069825,54899,-44.96107473373413,154.7589975118637,80.7
73.4,349,800,124.42466761999998,55081,157,,,,,,
74.07,351,804,127.32362794999999,55421,157,0.001,4.5570962387939975,55240,-44.38616388494318,,
74.47,353,808,129.71416456,55731,157,0.001,4.199432527735119,55575,-45.40871592930385,,
74.37,354,812,130.84409775,55995,157,0.001,5.146458681287436,55814,-44.9206306194437,,
,,,,56000,,0.001,6.467220999212826,55899,-45.00481523786272,168.7418700814247,84.4
75.01,357,816,133.69415773,56333,157,0.001,6.991020156355465,56152,-45.31328121451445,,
75.0,358,820,134.9566754,56610,157,0.001,4.810084178868462,56431,-45.170702253069194,,
75.58,360,824,137.53913671,56947,157,0.001,5.585391959022073,56767,-44.880270276750835,,
,,,,57000,,0.001,4.948988387982051,56851,-44.88028344653902,167.7775967001915,84.0
76.1,363,828,139.96729231999998,57278,157,0.001,5.85628607938456,57104,-45.321013162302414,,
76.61,365,832,142.3125068,57608,157,0.001,6.440388457077305,57429,-45.448649522734854,,
