time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
147,52102,,,297.29,,403.32590810999994,,436,352,,
,53000,0.001,8.897243995477657,,52914,,-90.34602582572711,,,590.79402769804,396.4
147,53453,0.001,8.099203024719124,307.31,53315,417.24942724,-90.974811668396,440,362,,
,54000,0.001,8.649666806771641,,53762,,-91.462965965271,,,482.06118727326395,297.0
148,54928,0.001,9.929490939710151,317.65,54542,432.77217959,-92.58320383412214,444,369,,
,55000,0.001,8.47002782595855,,54901,,-93.48144936162001,,,461.2310742139816,275.2
,56000,0.001,9.783432719241018,,55629,,-94.2461762138035,,,508.93503031134605,317.9
147,56262,0.001,8.019951087845998,322.02,55981,442.38667191,-95.26110809499568,448,380,,
,57000,0.001,8.216391027217009,,56955,,-96.54521041619974,,,411.09488328695295,221.9
147,57209,,,327.97,,452.71247460000006,,452,386,,
,58000,0.001,7.025243812825257,,57814,,-98.06105344048862,,,388.85251276493074,203.1
148,58030,,,323.04,,450.84460031000003,,456,391,,
148,58940,0.001,10.932036988567887,328.03,58705,460.07544058,-98.7205382229989,460,395,,
,59000,0.001,10.639488859818531,,58913,,-99.22672418447641,,,437.63478990793226,248.8
149,59908,0.001,10.978941911674408,334.19,59662,470.5495680400001,-99.85242999267578,464,402,,
,60000,0.001,10.003965181847141,,59881,,-99.87821701469771,,,372.63433861732483,190.6
149,60662,0.001,8.975485769185154,333.15,60511,473.02402041999994,-100.84877317601985,468,407,,
,61000,0.001,8.491610436499874,,60872,,-100.55470641320493,,,398.5787719428539,210.8
149,61519,0.001,7.8784452191950605,338.49,61291,482.75574129,-101.52464169722337,472,412,,
149,61993,0.001,5.121461880834479,339.99,61948,484.90590855000005,-102.48225326538086,476,415,,
,62000,0.001,4.011412514580621,,61966,,-102.94065687391493,,,289.87617085576056,159.6
149,62883,0.001,8.68279817508995,345.06,62629,494.19106332,-103.16846753041679,480,419,,
,63000,0.001,13.799943347334336,,62856,,-103.47783674273575,,,389.1390140235424,199.8
149,63740,0.001,7.89172088927117,344.31,63483,497.33955289000005,-104.2780928380281,484,425,,
,64000,0.001,9.783961220393104,,63902,,-104.92810990182977,,,371.9577253162861,182.0
150,64558,0.001,14.201039405201756,341.72,64295,498.04308492,-105.22069777729355,488,430,,
,65000,0.001,11.34341877949338,,64769,,-106.30288997618091,,,401.6890616416931,217.9
150,65363,0.001,12.382901497144957,338.72,65158,497.43918815999996,-106.45785333776986,492,435,,
,66000,0.001,13.67707072378515,,65861,,-107.77767810192736,,,366.9207579851151,172.8
150,66060,,,330.07,,491.34943983000005,,496,439,,
150,66748,0.001,13.481566423063825,325.63,66538,490.12777009999996,-108.48839984362638,500,443,,
,67000,0.001,10.468740542132155,,66854,,-108.4049312534617,,,381.1420809030533,176.2
150,67414,0.001,12.865434069908103,320.03,67216,487.13171687,-109.2791047890981,504,447,,
,68000,0.001,11.886575298075295,,67844,,-110.37360791462224,,,354.09746799468996,167.4
150,68040,,,307.19,,477.04249439,,508,451,,
150,68657,0.001,17.85394158550337,291.69,68485,465.12335400000006,-111.38930280585038,512,454,,
,69000,0.001,14.303667516975135,,68927,,-112.8917070845483,,,345.56691842675207,147.5
150,69238,0.001,15.122565883729193,280.91,69071,456.95088579000003,-112.5240420235528,516,458,,
151,69796,0.001,17.919384477831795,262.92,69627,440.92483185,-113.1964617047991,520,461,,
,70000,0.001,9.962450867432814,,69899,,-113.32844919057993,,,344.55317679047585,147.4
151,70357,0.001,13.314816966757075,243.34,70191,424.78972163,-114.61844968124174,524,465,,
151,70909,0.001,16.010429313217383,221.13,70754,407.50957006,-114.60837643388389,528,467,,
,71000,0.001,14.955713089555502,,70882,,-114.9323263168335,,,336.24681413173676,141.4
151,71472,0.001,13.978215062618256,209.27,71301,396.13158858999986,-115.65108686174665,532,470,,
,72000,0.001,17.345019365878816,,71871,,-115.83327451433455,,,351.21693046092986,145.4
151,72043,,,199.41,,386.68455965999993,,536,474,,
152,72600,0.001,11.122496106558376,191.47,72433,379.4086093699999,-115.26841354370117,540,476,,
,73000,0.001,13.62460003032551,,72860,,-116.05165513356526,,,340.0601554811001,151.5
152,73185,0.001,12.225586063909851,182.57,73009,370.78221262999995,-116.2838454375396,544,480,,
152,73749,0.001,16.52128911178384,174.87,73574,363.2596976,-117.70363576253256,548,483,,
,74000,0.001,13.976186673892173,,73874,,-117.71945642170154,,,341.88764395713804,155.0
152,74369,0.001,12.28922019573237,171.6,74178,359.98383876,-118.8043115515458,552,487,,
152,74920,0.001,10.529588617817048,168.9,74735,356.25807008,-119.20680514248934,556,490,,
,75000,0.001,13.059305459638185,,74893,,-118.86158211623567,,,352.40428869724275,158.8
152,75535,0.001,11.713930154006754,165.95,75364,353.45004392000004,-119.31815734863281,560,494,,
,76000,0.001,15.693764412906807,,75957,,-120.28071013974471,,,331.33722111582756,144.1
152,76130,,,162.22,,349.74093510000006,,564,497,,
153,76727,0.001,13.570574014154198,160.65,76552,348.4740988800001,-120.71047534681347,568,500,,
,77000,0.001,14.728423614501953,,76850,,-120.56819224039714,,,338.64689511060715,149.2
153,77322,0.001,12.186090124064478,158.03,77143,346.1669302099999,-121.09271780649821,572,504,,
153,77929,0.001,13.562323805469795,159.36,77749,352.01538523999994,-122.33922185124578,576,507,,
,78000,0.001,14.12131427627763,,77902,,-122.13127740637049,,,373.95162015557287,154.2
153,78523,0.001,15.883358564175351,156.4,78340,349.83105823,-122.24726889167033,580,510,,
,79000,0.001,11.435858344002593,,78927,,-123.33118925232819,,,350.16976100802424,146.5
153,79098,,,153.58,,347.21652384000004,,584,514,,
153,79695,0.001,13.741253741689631,151.37,79518,345.23822461,-122.901272335568,588,517,,
,80000,0.001,13.574199891912526,,79951,,-123.74243534935846,,,331.55095331668855,140.6
153,80267,0.001,17.971720880186055,149.04,80093,343.00786801000004,-123.35450078400088,592,521,,
154,80849,0.001,13.440247111850315,147.89,80671,341.97302084,-123.9584436416626,596,524,,
,81000,0.001,11.212212974219014,,80961,,-123.75293952831323,,,317.04024839401245,142.8
154,81431,0.001,15.563203716611529,146.83,81244,340.7425143600001,-124.81534629397922,600,528,,
,82000,0.001,19.164858878858936,,81842,,-125.73088541666667,,,359.22761155962945,149.4
154,82019,,,146.05,,340.89231628999994,,604,531,,
154,82609,0.001,21.41489219983419,145.69,82442,341.21063284999997,-125.71951497395834,608,535,,
,83000,0.001,19.205143409616806,,82872,,-126.00796318054199,,,328.99955558180807,138.3
154,83161,0.001,21.115573055267333,145.04,82997,340.50751227999996,-126.09618451518398,612,538,,
154,83716,0.001,17.007593493089608,144.78,83543,341.23579026,-126.23444083077567,616,541,,
,84000,0.001,17.12093557160476,,83834,,-127.4173785693025,,,402.1078328251839,159.9
154,84340,0.001,17.666835734718724,145.44,84164,343.54772349,-126.57840186671207,620,545,,
154,84936,0.001,15.319186702752726,145.79,84761,344.64207439999996,-127.33194947854066,624,548,,
,85000,0.001,12.791181213146931,,84909,,-127.6566600284061,,,322.0325588583946,138.1
154,85480,0.001,21.776794560521626,145.71,85313,343.9616244399999,-128.41213237375453,628,552,,
,86000,0.001,19.79971609047964,,85871,,-128.3148020063128,,,312.1059004604816,135.2
154,86048,,,145.76,,344.31043512,,632,555,,
155,86664,0.001,14.183774422995652,146.21,86492,345.00333819,-129.4957681004005,636,558,,
,87000,0.001,22.257397883871327,,86862,,-129.35576169244175,,,345.69353746175767,144.9
155,87195,0.001,16.20120495138034,145.95,87004,343.81652559,-129.9083408839266,640,561,,
155,87877,0.001,14.178563419808732,146.92,87671,348.06119562,-130.38892364501953,644,565,,
,88000,0.001,17.064751771575246,,87850,,-130.368039449056,,,492.473279106617,181.8
155,88604,0.001,15.355771573562196,148.55,88399,354.63132843999995,-131.02455970678437,648,570,,
,89000,0.001,23.150957655023646,,88949,,-131.19690615065554,,,526.6613919138908,181.8
155,89348,0.001,13.476897051168043,149.79,89121,361.51869989,-131.8590087890625,652,574,,
,90000,0.001,13.863606369204637,,89871,,-133.67488060745538,,,566.7691697895527,199.8
155,90106,,,151.86,,371.6892216,,656,579,,
155,90886,0.001,18.119079693254218,153.51,90698,380.47823244000006,-134.83395123291015,660,582,,
,91000,0.001,17.3367245656363,,90859,,-133.97976551055908,,,659.081179010868,203.6
155,91654,0.001,17.551945327240745,155.24,91540,390.6175377999999,-136.06450140280802,664,588,,
,92000,0.001,16.963552480520203,,91799,,-137.34161660837572,,,709.1956829845906,215.6
155,92325,0.001,31.23602506330797,155.98,92159,395.59924645,-137.21603651449715,668,592,,
,93000,0.001,27.768838497529547,,92787,,-138.6731339731524,,,844.8876561403274,256.2
155,93199,0.001,21.71145918301725,158.77,93034,408.49027029999996,-139.27639118317634,672,598,,
,94000,0.001,22.081455847573658,,93844,,-140.59173353891524,,,825.9471280574799,260.7
155,94126,,,161.97,,422.04601002,,676,604,,
155,94804,0.001,18.22356268905458,162.81,94604,426.48531022,-142.60685857137045,680,608,,
,95000,0.001,20.43218840046933,,94967,,-142.708325677169,,,608.7089064717293,212.9
