train/n_updates,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
10008,165,68.3,128,0.001,10167,-9.616683890000001,0.18243734905685205,3.112927961349487,61,,
10281,165,68.3,132,0.001,10439,-9.625387780000002,0.16159409427029245,3.2067027232226204,63,,
10556,166,68.3,136,0.001,10714,-9.62245939,0.1743887216917106,3.3124342441558836,64,,
10829,166,68.32,140,0.001,10987,-9.670135179999999,0.15486365337582195,3.49115453748142,65,,
10898,,,,0.001,11000,,0.1691329034342282,3.575705030986241,,68.4,-10.15014795983734
11050,165,67.53,144,0.001,11181,-9.299641000000001,0.18893111089155787,2.2282028936204457,67,,
11188,165,65.86,148,0.001,11289,-9.01937575,0.19726461917161942,1.4912121295928955,68,,
11236,165,63.63,152,0.001,11337,-9.07171033,0.2340136170387268,1.3974377314249675,68,,
11281,165,61.33,156,0.001,11381,-9.00531453,0.1395068900151686,-0.7883534550666809,68,,
11325,165,59.04,160,0.001,11425,-9.19848576,0.2037013518539342,-0.0374749980866909,68,,
11369,165,56.76,164,0.001,11469,-9.396360450000001,0.16827369074929843,0.36943606436252596,69,,
11413,166,54.45,168,0.001,11513,-9.465749520000001,0.1937296437946233,0.320154769718647,69,,
11457,166,52.16,172,0.001,11557,-9.63764984,0.2594485296444459,0.4018850062973797,69,,
11501,166,49.86,176,0.001,11601,-9.72585254,0.4211638312448155,0.29446482509374616,69,,
11542,166,47.55,180,0.001,11641,-9.590191169999999,0.27309270650148393,-0.14742294943425804,70,,
11582,166,45.22,184,0.001,11681,-9.39799764,0.17508917599916457,-0.37282788306474685,70,,
11622,166,42.88,188,0.001,11721,-9.24275806,0.19123321101069451,-0.7105177521705628,70,,
11663,166,40.57,192,0.001,11762,-9.11241314,0.23473430946469306,-0.44597608745098116,70,,
11703,166,38.24,196,0.001,11802,-8.93417855,0.2686173677444458,-0.6247110337018966,70,,
11746,166,35.94,200,0.001,11846,-8.766067560000002,0.12595489756627518,-0.5503893991311392,71,,
11790,166,33.65,204,0.001,11890,-8.6310717,0.16446949270638553,-0.2643934451043606,71,,
11834,166,31.38,208,0.001,11934,-8.528886819999999,0.15327124839479273,-0.08518899666766326,71,,
11878,166,29.08,212,0.001,11978,-8.37308992,0.12030373310500925,-0.11217017502834399,71,,
