rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
288.57516121000003,162,127.47,404,31583,193,0.001,-57.47982377272386,31341,15.315739368781065,,
,,,,32000,,0.001,-57.936891751411636,31809,17.193921921359507,359.6142551600933,178.5
293.72881835,166,129.42,408,32212,192,0.001,-57.78024020140199,31983,15.617084229129484,,
298.82999051999997,169,131.46,412,32790,193,0.001,-58.0723708805285,32573,16.71783152065779,,
,,,,33000,,0.001,-58.128787464565704,32859,14.900175656943485,335.6363776862621,135.6
304.44893752999997,172,133.22,416,33341,192,0.001,-58.396257041157156,33134,16.3010103771652,,
309.56356470000003,175,134.98,420,33900,193,0.001,-58.28452826237333,33683,14.568580838217251,,
,,,,34000,,0.001,-58.47224555217044,33824,17.657491061704377,337.27476288080214,137.0
314.33225518,178,136.67,424,34460,192,0.001,-58.201682390485495,34249,15.399720492937886,,
,,,,35000,,0.001,-58.83417959774242,34799,17.47004959863775,312.662149310112,131.5
319.28472889000005,182,138.17,428,35007,192,,,,,,
323.56896264000005,184,139.83,432,35563,192,0.001,-58.46234113519842,35354,17.275803242020935,,
,,,,36000,,0.001,-58.31249925825331,35888,18.26725582309536,308.4275801062584,141.5
326.77936385,188,141.23,436,36107,191,,,,,,
329.83118384999995,190,142.4,440,36633,192,0.001,-58.484364677877984,36426,17.62157119021696,,
,,,,37000,,0.001,-58.44863134271958,36838,19.30032517468488,298.9666898429394,129.6
331.40970705,193,143.39,444,37171,191,0.001,-58.59815353155136,36966,18.92131381109357,,
333.41880913999995,196,144.22,448,37679,192,0.001,-58.57551495991056,37475,19.04305424277238,,
,,,,38000,,0.001,-58.02319590250651,37858,20.719228078448584,316.32773783802986,134.6
335.86270426000004,199,145.15,452,38196,191,0.001,-58.3682918548584,37994,17.813100134625156,,
340.32788509000005,201,146.51,456,38711,191,0.001,-57.35548553466797,38501,18.511643719673156,,
,,,,39000,,0.001,-57.45717650651932,38895,19.502431285473726,288.4412437260151,124.6
338.9500081099999,205,145.43,460,39229,191,0.001,-57.751217123178336,39024,20.223378011422565,,
341.92669782999997,207,145.98,464,39800,191,0.001,-56.75857228040695,39568,19.081812986238734,,
,,,,40000,,0.001,-56.945088627826735,39890,20.406841846833746,394.1308483481407,144.5
343.47549851,211,146.25,468,40434,191,0.001,-56.811172349112375,40203,18.19937246085624,,
344.92618337,214,146.28,472,40962,191,0.001,-57.37985002426874,40806,21.53391308443887,,
,,,,41000,,0.001,-56.38707418441773,40886,22.661426055431367,359.1198066234589,142.9
343.0963516,217,145.03,476,41460,190,0.001,-56.90416622161865,41304,22.055639291111426,,
,,,,42000,,0.001,-56.707511620772515,41780,19.46306280336882,398.1276446580887,147.9
344.64537397999993,220,144.95,480,42038,190,,,,,,
341.56695559,223,143.39,484,42534,190,0.001,-56.824535567184974,42334,21.78546566798769,,
,,,,43000,,0.001,-56.57625725690056,42848,24.35262681456173,573.3952508985997,178.8
340.62669279,226,142.05,488,43104,190,,,,,,
342.47702221,230,141.28,492,43795,190,0.001,-56.305156180199155,43582,25.607336074910698,,
,,,,44000,,0.001,-57.12268004697912,43719,22.405048694053704,681.9621550619602,214.3
351.3036108799999,234,141.55,496,44528,189,0.001,-57.08922395802507,44299,26.100604606397223,,
,,,,45000,,0.001,-56.66301135802537,44804,19.17496485090525,711.2044837534428,221.9
365.19178741999997,239,144.37,500,45363,189,0.001,-56.852644901649626,45009,23.500992114369463,,
,,,,46000,,0.001,-57.20261618431578,45829,20.805132267322946,542.8335886955261,178.0
373.31012394,244,144.89,504,46072,188,,,,,,
379.9330506,247,145.39,508,46751,189,0.001,-57.633870250046854,46471,21.28770853774716,,
,,,,47000,,0.001,-57.75632803780692,46829,26.844689759341154,1041.8371226906777,531.0
385.69974411,254,148.01,512,47591,186,0.001,-57.641132505813445,47370,25.407354926118757,,
,,,,48000,,0.001,-57.884453979193,47865,26.360765349631215,763.9940625667572,438.9
396.26299616000006,260,150.6,516,48401,185,0.001,-58.133296966552734,48063,27.41475897605973,,
,,,,49000,,0.001,-58.25907883389306,48325,26.629996743821007,1051.5675748288631,1000.0
,,,,50000,,0.001,-58.50366877746582,49325,25.736714628219605,916.124857133627,758.4
413.8408905800001,283,169.55,520,50855,179,0.001,-58.85858410964777,50648,25.835967258772246,,
,,,,51000,,0.001,-59.03477049607497,50779,27.729442050438802,542.7049581706524,209.2
418.6888993300001,288,172.81,524,51741,179,0.001,-59.187587070465085,51513,26.03906611288237,,
,,,,52000,,0.001,-59.226912963084686,51899,29.785569667816162,1132.289795023203,412.7
426.98178595999997,295,177.28,528,52735,178,0.001,-60.19817181995937,52473,30.723672781671798,,
,,,,53000,,0.001,-59.82565178504357,52920,33.4288807282081,216.69829177856445,127.9
428.62531452,298,178.39,532,53402,178,0.001,-60.120335609682144,53045,32.66717879486084,,
425.2554718600001,302,178.09,536,53916,178,0.001,-59.601935498854694,53712,29.94578479318058,,
,,,,54000,,0.001,-59.256935238838196,53840,34.80977523326874,152.7126939892769,89.8
,,,,55000,,0.001,-59.919263172486644,54660,34.93569021478164,974.4887382507325,341.0
441.0362306999999,308,183.95,540,55028,178,,,,,,
454.7880598600001,313,187.94,544,55965,178,0.001,-60.29565518815941,55771,33.015488361643854,,
,,,,56000,,0.001,-60.3301297850528,55889,35.33652502803479,332.564328533411,156.5
461.2697387,317,190.53,548,56732,178,0.001,-60.14367669628513,56329,38.73446881103516,,
,,,,57000,,0.001,-59.97458606958389,56903,37.12063802674759,198.4455710172653,116.4
456.7107803900001,321,190.15,552,57211,177,0.001,-60.558280206495716,57026,35.293341303259375,,
455.86418604,324,190.31,556,57742,177,0.001,-59.8343194325765,57545,38.66827238930596,,
,,,,58000,,0.001,-60.22346190519111,57839,35.662666695655425,124.74599636443891,89.1
454.0392085100001,327,189.15,560,58144,177,0.001,-59.07502746582031,58039,44.17388068928438,,
440.1241892300001,328,184.81,564,58281,177,0.001,-60.14230829874675,58170,36.4269136428833,,
424.9444140199999,329,180.74,568,58508,177,0.001,-60.02845844145744,58394,37.09110163866989,,
412.46044673000006,329,177.22,572,58684,177,0.001,-59.85875930786133,58565,41.240800531899055,,
401.60161366000006,330,174.26,576,58886,178,0.001,-60.36571412927964,58741,36.3304328918457,,
,,,,59000,,0.001,-60.65071247645787,58810,45.72895495096842,70.85095593398437,74.2
388.13759352,332,170.84,580,59122,177,0.001,-60.30351489523183,59013,38.45395900892175,,
377.57841327,333,167.87,584,59321,177,0.001,-60.89449392046247,59183,40.142099949351525,,
363.30021546999996,334,164.04,588,59508,178,0.001,-60.76327102661133,59390,44.24578257969448,,
344.94557756,335,159.26,592,59721,178,0.001,-61.09506623641305,59590,44.459581706834875,,
322.76706321000006,336,153.71,596,59899,178,0.001,-61.72518179151747,59789,34.25255507391852,,
,,,,60000,,0.001,-61.20853603587431,59922,32.71960518576882,17.575888939667493,34.9
296.72301674999994,337,146.69,600,60032,178,,,,,,
275.57781624999996,337,140.98,604,60170,178,0.001,-60.75067392985026,60060,37.172083377838135,,
256.35533313999997,338,135.81,608,60332,178,0.001,-60.20775852203369,60216,36.7644121170044,,
238.29954868000002,339,128.81,612,60472,178,0.001,-60.8765027663287,60357,37.36540053231376,,
215.11822611999997,339,122.18,616,60619,178,0.001,-61.043631076812744,60511,34.58554435498787,,
184.77737601,340,98.9,620,60745,178,0.001,-61.38759657915901,60640,40.29557463702034,,
167.04048652000006,340,91.27,624,60868,178,0.001,-61.639111280441284,60762,34.6028690636158,,
145.55830022,341,82.54,628,60989,178,0.001,-61.70431950887044,60884,49.45622386932373,,
,,,,61000,,0.001,-61.06547464643206,60913,45.355497426000134,10.107048009801655,29.3
131.74602423,342,77.03,632,61105,178,0.001,-62.38788087027414,60999,33.49433977850552,,
123.40221339,342,73.13,636,61229,178,0.001,-62.41961336135864,61123,37.17159974575043,,
96.00640695,343,63.29,640,61357,178,0.001,-61.989537715911865,61251,37.30395179986954,,
70.59686113999999,344,55.18,644,61483,178,0.001,-62.04540812174479,61375,34.47065457990092,,
52.69528946,344,48.76,648,61608,178,0.001,-61.05071187019348,61500,38.19872603877898,,
45.54111094000001,345,45.24,652,61735,178,0.001,-61.37670707702637,61627,33.37965726852417,,
34.25195223,345,41.15,656,61857,178,0.001,-61.27045262654622,61751,41.35292274721207,,
24.126156539999997,346,38.38,660,61982,179,0.001,-60.6529700756073,61872,36.47399994634813,,
,,,,62000,,0.001,-61.02562175077551,61906,34.414875254911536,13.020312792630284,31.3
23.32940783,346,38.25,664,62106,179,0.001,-60.05740966796875,61998,41.39223709106445,,
21.94946681,347,37.37,668,62245,179,0.001,-60.66441120820887,62130,34.688757058345914,,
23.36677497,348,38.76,672,62560,179,0.001,-60.22757261770743,62384,39.786931603043165,,
,,,,63000,,0.001,-61.04456319564428,62562,39.88990791027363,1033.7398131608963,1000.0
,,,,64000,,0.001,-60.237411858900536,63668,36.36265405618919,845.2681520611047,815.7
44.24005065,365,58.58,676,64744,177,,,,,,
,,,,65000,,0.001,-59.31479221841563,64909,34.88812964895497,1095.803575628996,1000.0
,,,,66000,,0.001,-58.948614112854,65909,33.68443848991394,1093.6833014011384,1000.0
66.59795128,387,78.63,680,66985,172,,,,,,
,,,,67000,,0.001,-58.56304384613037,66909,30.981562037467956,270.6773702085018,122.8
71.73441647,394,79.86,684,67307,170,0.001,-58.10817680358887,67192,30.141053255866556,,
