train/learning_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0.001,10,33166,149.11,-107.17769410180264,33019,289.69407824999996,3244,448,59.44695523527802,,
0.001,10,33630,148.42,-106.5216231028239,33493,290.02370570999994,3246,452,42.96610782560238,,
0.001,,34000,,-107.7881035640322,33925,,,,59.16867089067769,146.6,286.9085874736309
,10,34074,147.76,,,290.64946003,3250,456,,,
0.001,,35000,,-107.55851376056671,34302,,,,58.43692785524855,544.0,579.9535939574241
0.001,10,35544,157.44,-108.57252036200629,35411,297.55397852999994,3261,460,43.27416906444304,,
0.001,,36000,,-108.94225639930139,35877,,,,46.59044995926719,113.0,259.2376549303532
,11,36018,131.01,,,275.39507821,3264,464,,,
0.001,11,36534,131.64,-109.4658808026995,36365,276.48965887,3267,468,40.16628793988909,,
0.001,,37000,,-109.65667044149863,36901,,,,58.163286267100155,113.3,257.3399950683117
,11,37040,132.12,,,277.54380122,3271,472,,,
0.001,11,37566,132.68,-109.40867689789319,37422,278.51511348,3274,476,38.96754671315678,,
0.001,,38000,,-110.38022781630694,37887,,,,43.27768312983152,118.7,267.2814273357391
,11,38025,132.87,,,278.78568863,3278,480,,,
0.001,11,38492,133.04,-109.39804295131138,38344,279.10659722,3280,484,45.74021399872644,,
0.001,11,38949,132.77,-110.38309666148403,38811,278.51085111,3283,488,51.291659603948176,,
0.001,,39000,,-109.38068335396903,38922,,,,36.898151655454896,114.7,260.5861479759216
0.001,11,39414,132.83,-109.17358624493635,39267,278.78063249,3286,492,40.36532047059801,,
0.001,12,39886,132.45,-109.31711002818325,39743,278.17129083,3289,496,35.558662273572835,,
0.001,,40000,,-108.52676220597893,39859,,,,37.14895204840035,113.0,257.2088597893715
0.001,12,40338,131.47,-109.84845442338424,40192,276.51743099,3292,500,54.26976845481179,,
0.001,12,40798,131.02,-109.37188999469464,40648,275.85861308999995,3294,504,54.801418584126694,,
0.001,,41000,,-109.24406458536784,40890,,,,50.88784996802065,120.6,270.80429901480676
0.001,12,41280,130.22,-109.02127346750034,41130,274.79479933,3298,508,42.54272448006323,,
0.001,12,41793,129.79,-108.97233995340638,41626,275.23696126000004,3301,512,40.72609749410906,,
0.001,,42000,,-109.1536995569865,41911,,,,37.67039323675221,134.6,323.1411628067493
0.001,12,42327,130.2,-108.09467047975774,42180,277.47735313,3304,516,41.47547371197591,,
0.001,12,42819,130.21,-109.47930329845798,42662,277.77845224,3307,520,44.19102634922151,,
0.001,,43000,,-108.07677888033683,42907,,,,43.03580070993175,124.1,280.40459737181664
0.001,13,43299,129.97,-107.69850336710611,43150,277.5183621,3310,524,37.444707878430684,,
0.001,13,43780,129.81,-107.3938723704854,43633,277.60241668,3313,528,32.41657535756221,,
0.001,,44000,,-107.71123676915323,43876,,,,45.03506043286828,124.4,282.4263564825058
0.001,13,44295,129.99,-107.64596118665722,44144,278.87632916,3317,532,42.55502690611215,,
0.001,13,44784,130.14,-107.15912034776476,44632,279.53964254,3319,536,32.44329969024658,,
0.001,,45000,,-107.71025725773403,44869,,,,39.66709162081991,125.1,280.3426283597946
0.001,13,45260,130.41,-107.05759403161835,45111,280.59058424,3323,540,39.05158576965332,,
0.001,13,45773,130.94,-106.60674507834695,45609,283.17291886,3326,544,39.51220711794767,,
0.001,,46000,,-106.93664073944092,45859,,,,29.033815940924452,127.4,320.3601053118706
0.001,13,46255,130.89,-107.13949839274089,46126,284.00104438,3329,548,41.072425234145015,,
0.001,14,46758,131.28,-106.44400754182234,46597,286.25823685,3332,552,30.4370303908698,,
0.001,,47000,,-106.0967662645423,46868,,,,30.642107793014414,115.9,287.9641511201859
0.001,14,47226,131.52,-106.19260665348598,47094,287.01722474,3335,556,44.66111705984388,,
0.001,14,47685,121.41,-105.75041500727336,47522,281.01498427,3338,560,30.29370211551064,,
0.001,,48000,,-106.69220217852525,47914,,,,29.045095764998848,130.7,348.2276064515114
0.001,14,48211,121.93,-106.51481346717247,48044,283.84782550000006,3342,564,33.21872620949378,,
0.001,14,48779,122.45,-106.68354838603251,48593,287.21858807,3345,568,38.415781225934126,,
0.001,,49000,,-107.06212918898639,48889,,,,37.37263321006385,146.5,393.3215260148048
0.001,14,49314,122.74,-105.73783635381443,49159,290.33568541999995,3349,572,31.67140705549895,,
0.001,14,49887,123.21,-106.70726906625848,49717,294.24191434,3352,576,35.59244522393919,,
0.001,,50000,,-107.15347915225558,49860,,,,32.1777048644486,143.0,387.1904511272907
0.001,15,50466,124.41,-106.82725804968726,50325,299.11260848999996,3356,580,42.376853840260566,,
0.001,15,50995,125.03,-105.73723484919621,50830,302.08586177999996,3359,584,34.31600550138033,,
0.001,,51000,,-107.24217257292375,50968,,,,35.13966983988665,143.3,379.36780284047126
0.001,15,51569,126.2,-106.14855713775192,51396,306.87579504999997,3364,588,30.970662311915934,,
