rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
252.29237479999995,116.31,81561,788,180,450,0.001,-55.1370543140476,81346,11.87328145463588,,
,,82000,,,,0.001,-55.71767923387431,81827,11.23827284324069,120.4,261.6238062620163
253.73184508999998,116.84,82033,792,180,453,,,,,,
253.60230638000004,116.83,82434,796,180,455,0.001,-55.774591248610925,82226,12.141464253951764,,
255.24064734,117.5,82917,800,181,457,0.001,-55.67863604227702,82705,13.103868369261424,,
,,83000,,,,0.001,-55.86124026189085,82826,12.52728063804059,120.4,261.20469493865966
255.63046884,117.73,83401,804,180,461,0.001,-55.69547800863943,83190,13.332809325187437,,
255.83930655000003,117.81,83895,808,180,463,0.001,-55.74264747865738,83686,11.574125700849828,,
,,84000,,,,0.001,-56.040066153316175,83804,13.214101872201693,122.3,266.90392323732374
255.84637901,117.78,84385,812,180,467,0.001,-56.03597295284271,84174,11.65058147907257,,
256.22377627000003,117.94,84875,816,180,469,0.001,-55.44231427302126,84663,12.916296447195657,,
,,85000,,,,0.001,-56.1074539307625,84908,12.375833184488359,121.4,270.38515001535416
256.76296966000007,118.19,85377,820,180,472,0.001,-55.86563467979431,85160,12.183058787518599,,
257.08667721000006,118.35,85865,824,180,474,0.001,-55.884034679782005,85652,12.112676851211056,,
,,86000,,,,0.001,-55.906648574336884,85899,11.50451428604126,122.4,266.6676159977913
257.06850319,118.32,86352,828,180,477,0.001,-56.220598220825195,86142,14.526643785108037,,
257.12622739999995,118.35,86841,832,181,479,0.001,-55.87168103172665,86628,12.95413302996802,,
,,87000,,,,0.001,-55.8908823074833,86875,11.304490623474122,121.6,265.23367230296134
259.22673707999996,119.24,87335,836,180,482,0.001,-56.31328511642197,87117,11.29476017911895,,
259.28566824,119.25,87817,840,181,484,0.001,-55.926444880167644,87605,12.173768830299377,,
,,88000,,,,0.001,-56.30223331451416,87846,13.284961048762003,121.7,265.4789738178253
259.47692358,119.34,88303,844,181,487,0.001,-56.223288113953636,88094,12.307546728947123,,
259.36266549000004,119.27,88786,848,181,489,0.001,-56.21740957895915,88574,12.421680740515392,,
,,89000,,,,0.001,-56.156585046800515,88813,11.79250961239055,121.5,265.05309092998505
261.04983824999994,119.94,89270,852,181,492,0.001,-55.91265437642082,89053,11.387473266632831,,
260.96969475,119.86,89752,856,181,495,0.001,-56.10889880940066,89536,11.848021649906778,,
,,90000,,,,0.001,-56.76472460839056,89902,12.15131351036754,119.1,261.73069443702695
262.64694118,120.5,90232,860,181,498,0.001,-55.86740618738635,90018,13.175672385199316,,
262.38756407,120.32,90707,864,181,500,0.001,-56.274020880983585,90492,12.016296003994189,,
,,91000,,,,0.001,-56.970000457763675,90845,13.570207838578657,120.4,263.3069996416569
262.66772318999995,120.41,91188,868,181,503,0.001,-56.377312372601224,90970,11.33168497467041,,
262.40589458,120.23,91660,872,181,505,0.001,-56.50486761836682,91448,10.23356539920225,,
,,92000,,,,0.001,-56.149293222735004,91813,13.200672649383545,121.2,264.1167287349701
262.59276166999996,120.34,92148,876,181,509,0.001,-56.40872826114778,91936,12.867941305889346,,
262.50294494999997,120.29,92632,880,181,511,0.001,-56.88731433499244,92420,11.787435558534437,,
,,93000,,,,0.001,-56.44429316286181,92892,12.291389234730454,121.6,264.5968726038933
262.30419567,120.18,93101,884,180,514,,,,,,
262.52331068,120.31,93592,888,180,517,0.001,-56.71684325687469,93383,10.807784591402326,,
,,94000,,,,0.001,-56.39469665777488,93860,12.05337723424612,122.7,267.7377587080002
262.72057641,120.43,94076,892,180,520,,,,,,
264.71015937,121.27,94561,896,180,522,0.001,-56.38907261552482,94345,11.584957836020706,,
,,95000,,,,0.001,-56.421285848148536,94836,11.9722834102443,123.1,268.59759204387666
264.73615377000004,121.3,95047,900,180,525,,,,,,
264.79767591,121.33,95534,904,180,527,0.001,-56.61401173219843,95320,11.018761242850353,,
,,96000,,,,0.001,-56.58527880809346,95807,11.827580420951533,123.5,269.61872240304945
264.63780017000005,121.26,96021,908,180,530,,,,,,
264.55468244,121.23,96508,912,181,533,0.001,-56.74566211700439,96296,13.453699773099242,,
,,97000,,,,0.001,-56.64405798142956,96793,11.387885635898959,123.9,271.50853024721147
264.73110307999997,121.35,97010,916,180,536,,,,,,
264.58551134,121.31,97508,920,180,538,0.001,-56.72873576994865,97295,10.36135104751587,,
,,98000,,,,0.001,-56.18947570554672,97787,11.96968938446045,123.2,268.46191359758376
264.748359,121.4,98005,924,180,542,,,,,,
264.87922964,121.47,98499,928,180,545,0.001,-56.340977699525894,98283,12.79311822128296,,
264.86514816000005,121.46,98987,932,180,547,0.001,-56.813250307176936,98774,10.492099918302943,,
,,99000,,,,0.001,-56.90747151609327,98896,11.633002460980025,123.8,271.28135615587234
